Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	gamma	A.1	A.2	A.3	A.4	Theta.1	Theta.2	Theta.3	Theta.4	psi.height	psi.treeLength	D.treeLikelihood
260000	-6614.930504350485	-6171.814520155197	-443.1159841952873	0.20330483695559676	0.3426030459262487	0.2193615180609914	0.23473059905716315	0.0487637368135832	0.37525126136140474	0.062192674830417335	0.032580052587270134	0.4240727717188764	0.05713950268844805	0.3531847901360326	12	2	22	26	10213.512567702342	1873.4964641256695	90.13163181001168	142.7667255023261	323.5318700325721	4966.296041310174	-6171.814520155197
280000	-6619.614890671304	-6174.434712631132	-445.18017804017234	0.17494421668414958	0.33550345199409826	0.22802323682889503	0.2615290944928573	0.04647632646975272	0.3869338182074802	0.0658405742937754	0.04226510660439894	0.4072281626822855	0.05125601174230714	0.3896586805989228	12	18	28	4	10557.034393859316	201.2921686272733	94.55977846850291	366.5926534137758	329.5770565881914	5134.3463945775	-6174.434712631132
300000	-6622.994009319854	-6174.754397141203	-448.2396121786504	0.18822715768364753	0.30640290476947396	0.22582600145712226	0.2795439360897565	0.06791675802433583	0.38409042253055586	0.04593054908899213	0.028874543797623456	0.4372875756244459	0.0359001509340467	0.3385780334669492	11	9	36	6	10792.161571990597	538.9504165828802	155.71650736880315	527.3600197930759	389.2157092407156	5414.175565935176	-6174.754397141203
320000	-6625.087350358539	-6160.554415905785	-464.5329344527539	0.18928518285787407	0.3268727391401015	0.21287538766879713	0.2709666903332275	0.045055905458350816	0.3654110713468554	0.05943977178262251	0.03151417554508006	0.4580927913565588	0.04048628451053219	0.31094152523870655	14	11	33	4	6661.6681263830615	706.5512143690275	120.8528166087433	466.13393876144306	407.89067542021945	5306.957073192612	-6160.554415905785
340000	-6656.807293474757	-6173.822093056412	-482.9852004183447	0.20226221576850864	0.2990629667425669	0.21837931561260343	0.2802955018763213	0.053540747307915755	0.3908331785854537	0.057022627944151666	0.02303499641600799	0.43114921102848064	0.04441923871798999	0.3740936486114836	8	18	29	7	9741.542784224377	2117.7056466664903	146.66454795015656	370.9153871639742	490.23836624644787	6386.822400199773	-6173.822093056412
360000	-6632.8192759353615	-6158.321987624695	-474.4972883106664	0.1899359660752283	0.3367880791751008	0.24329279615761493	0.2299831585920561	0.03995745542093902	0.3696135525444327	0.06480143801860057	0.02371593673269641	0.4586570162255713	0.04325460105775981	0.3939046335011859	12	14	33	3	10317.05783989432	443.6930656992414	299.35678067308464	93.52752045064933	373.65592765371224	5243.905858123991	-6158.321987624695
380000	-6635.588701181295	-6168.2112694247835	-467.37743175651093	0.190472470479416	0.3479829006558929	0.20670437771422898	0.2548402511504623	0.045544536913224014	0.41816199721168207	0.05498119450959755	0.036900890962437066	0.39339284001109853	0.05101854039196059	0.33114350997954606	16	9	34	3	4007.3843676941146	634.0147340000249	171.400436567099	87.5666312956088	319.33514872023716	4796.697940567186	-6168.2112694247835
400000	-6611.172503340225	-6160.658941275094	-450.5135620651318	0.17042813450973077	0.33392477901393647	0.2503013370941998	0.2453457493821332	0.052787464910158705	0.4021557880895051	0.06885303720035135	0.019445038935331622	0.41167170952080906	0.04508696134384403	0.32297651202651073	13	19	26	4	5589.391170027014	186.71850956423214	146.4818167205142	602.1238202233777	333.3550867179697	4726.554397482255	-6160.658941275094
420000	-6621.363277052736	-6157.2654285485205	-464.0978485042151	0.17761362457085814	0.32264250263373834	0.23098599358930855	0.26875787920609523	0.06701244903704102	0.3952480557896491	0.05970179909173212	0.024823322035811203	0.4111626913179438	0.04205168272782262	0.41305325265145226	13	6	34	9	5407.74917232102	159.58789521138718	222.59650649689328	275.82660824741464	454.2750047160166	5876.754032578888	-6157.2654285485205
440000	-6614.890287757593	-6154.069555732022	-460.8207320255707	0.1938522919776632	0.3277418688284385	0.2206749509382702	0.2577308882556284	0.044787135246311484	0.34764338899458463	0.06171505579231882	0.02826704429319051	0.4683748351833716	0.049212540490222834	0.2962759794884212	11	12	19	20	7150.898155827318	880.523611120073	151.20474199433224	107.48328824202346	335.3615200250687	4670.982362833108	-6154.069555732022
460000	-6644.674634605788	-6168.197441438067	-476.4771931677214	0.20435299733671577	0.2938780628142446	0.23668370667227012	0.2650852331767698	0.05087947137041789	0.35246782551846073	0.056481090623325535	0.030645151811086506	0.46777209378704215	0.041754366889667105	0.34376611526934003	12	15	8	27	4412.5934323799975	351.92712719912583	334.52000744043323	201.5727964287307	383.98818875048744	5644.026901094032	-6168.197441438067
