Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	shape	Theta	trait_pi.0	trait_pi.1	trait_pi.2	trait_pi.3	trait_pi.4	trait_indicators1	trait_indicators2	trait_indicators3	trait_indicators4	trait_indicators5	trait_indicators6	trait_indicators7	trait_indicators8	trait_indicators9	trait_indicators10	trait_rates.0	trait_rates.1	trait_rates.2	trait_rates.3	trait_rates.4	trait_rates.5	trait_rates.6	trait_rates.7	trait_rates.8	trait_rates.9	traitClockRate	psi.height	D.treeLikelihood	svs.relGeoRate_Fujian_Guangdong	svs.relGeoRate_Fujian_Guangxi	svs.relGeoRate_Fujian_HongKong	svs.relGeoRate_Fujian_Hunan	svs.relGeoRate_Guangdong_Guangxi	svs.relGeoRate_Guangdong_HongKong	svs.relGeoRate_Guangdong_Hunan	svs.relGeoRate_Guangxi_HongKong	svs.relGeoRate_Guangxi_Hunan	svs.relGeoRate_HongKong_Hunan	trait_D.treeLikelihood
0	-7503.543832756351	-7346.534261598465	-157.00957115788643	0.23652393095567056	0.23790563857226066	0.25089089201620113	0.2746795384558677	4.306112068981465	0.2838406388474245	2.6140673360623494	0.27671072358417503	0.18246077048711304	0.15470559402968997	0.15698583309542669	0.2291370788035953	1	1	1	0	1	1	1	1	0	0	0.11198631470094152	0.06526364431755842	0.048328982230985675	0.07867651522582247	0.13792151945584627	0.07425763098137168	0.31975095764858097	0.02961076923252945	0.07142191167279995	0.06278175453356352	0.5125174767691473	11.436165436829699	-7296.097708500639	0.11198631470094152	0.06526364431755842	0.048328982230985675	0.0	0.13792151945584627	0.07425763098137168	0.31975095764858097	0.02961076923252945	0.0	0.0	-50.436553097826085
1500	-6419.8517618110345	-6304.121080091798	-115.73068171923622	0.23652393095567056	0.22205099691581612	0.24307094578709657	0.2983541263414168	8.473853339915413	0.20769432456992687	5.6288906546340085	0.14659989762127568	0.33707422188899666	0.286890499259237	0.11165630229133362	0.11777907893915716	1	1	0	1	1	1	1	1	1	1	0.012434637420366615	0.19278381382532234	0.17784181819725045	0.20553674018914078	0.06348879202264414	0.04130506734535698	0.17408320983658826	0.03756110382526711	0.04973208551185319	0.04523273182621011	0.5518291757991513	11.718821062247992	-6256.93199603969	0.012434637420366615	0.19278381382532234	0.0	0.20553674018914078	0.06348879202264414	0.04130506734535698	0.17408320983658826	0.03756110382526711	0.04973208551185319	0.04523273182621011	-47.1890840521078
3000	-6022.426222736035	-5904.039404040665	-118.38681869536948	0.32281367773534875	0.2146543580120969	0.1641778379111376	0.2983541263414168	9.91409748775453	0.22320381964672348	7.591851941326637	0.14885821097618052	0.17292658282519913	0.20214417418733813	0.26657656324527895	0.20949446876600342	1	1	1	1	1	1	1	1	1	1	0.1741900006083749	0.01416720825561587	0.13020703815889625	0.1836640171015944	0.019023249222567394	0.03324466675481396	0.0740632817539113	0.017041817417647438	0.12725726474650378	0.22714145598007465	0.8202208957520687	10.886972802494208	-5853.764362209162	0.1741900006083749	0.01416720825561587	0.13020703815889625	0.1836640171015944	0.019023249222567394	0.03324466675481396	0.0740632817539113	0.017041817417647438	0.12725726474650378	0.22714145598007465	-50.27504183150352
4500	-5979.392303649151	-5857.589526453152	-121.80277719599889	0.37849093951193347	0.226217707820697	0.16680604281738293	0.22848530984998663	9.074714579232046	0.31343606678809693	7.198057964814631	0.14040328027694077	0.42166588689809076	0.14840295277818183	0.19937443066687463	0.09015344937991221	1	1	0	1	1	1	1	1	1	1	0.11096042321439156	0.15078171367516569	0.004735977952708375	0.11918308753634084	0.007601522770087521	0.027059017287561223	0.2538274897586415	0.01868406729555694	0.14029961968375704	0.16686708082578938	0.6443209181965746	10.594890822029997	-5812.286021095769	0.11096042321439156	0.15078171367516569	0.0	0.11918308753634084	0.007601522770087521	0.027059017287561223	0.2538274897586415	0.01868406729555694	0.14029961968375704	0.16686708082578938	-45.303505357382974
6000	-5957.510060404237	-5835.236944227705	-122.2731161765323	0.3610746851055436	0.17811296003974952	0.21471158201818602	0.24610077283652085	7.815845955383901	0.44181269972728615	7.967910034622996	0.2491647335564919	0.1915894080624676	0.20406577793778985	0.23754186494147927	0.11763821550177156	1	1	1	1	1	1	1	1	1	1	0.09894850117536466	0.14998289993911057	0.017546969962677923	0.030661243613204908	0.04547008992247577	0.13393985885235885	0.08607444703769604	0.1018348968257529	0.331285845601574	0.004255247069784384	0.7853954277469354	10.921599559419857	-5785.584987740935	0.09894850117536466	0.14998289993911057	0.017546969962677923	0.030661243613204908	0.04547008992247577	0.13393985885235885	0.08607444703769604	0.1018348968257529	0.331285845601574	0.004255247069784384	-49.65195648677046
7500	-5966.077168279877	-5841.767045819049	-124.31012246082808	0.3610746851055436	0.17811296003974952	0.21471158201818602	0.24610077283652085	9.473002490738095	0.3606623645105408	6.913364268638148	0.11266565296502969	0.37664495469083586	0.22713294453420574	0.129867847614261	0.15368860019566788	1	0	1	1	1	1	1	1	1	1	0.12727911083898336	0.26889880813574113	0.03937042471949407	0.04236286416862557	0.10544066613234805	0.058960228691783384	0.11608376846021065	0.0223341951178355	0.21065815875355495	0.008611774981423313	0.8815978954107054	10.36000099301457	-5793.090473607782	0.12727911083898336	0.0	0.03937042471949407	0.04236286416862557	0.10544066613234805	0.058960228691783384	0.11608376846021065	0.0223341951178355	0.21065815875355495	0.008611774981423313	-48.676572211266894
9000	-5971.203065329027	-5847.277068295536	-123.92599703349025	0.3610746851055436	0.17811296003974952	0.21471158201818602	0.24610077283652085	7.347197839646538	0.377019110516847	8.344786625574256	0.241092089029064	0.15624415490973892	0.18885978375449386	0.2578508387646491	0.15595313354205428	0	0	1	1	1	1	1	0	1	0	0.09758474895346003	0.14271655799157737	0.020052635378224763	0.35057682290053527	0.03576110515635361	0.050098960579787674	0.01937156080071495	0.03628569121821852	0.11956818056892977	0.12798373645219796	0.812722271641114	10.672099934285777	-5797.260402415715	0.0	0.0	0.020052635378224763	0.35057682290053527	0.03576110515635361	0.050098960579787674	0.01937156080071495	0.0	0.11956818056892977	0.0	-50.01666587982033
10500	-5951.636813679617	-5829.078025647974	-122.55878803164345	0.3636678436478862	0.17551980149740692	0.21471158201818602	0.24610077283652085	7.410030929169913	0.37966998665050605	8.194305548753109	0.130576264831919	0.1886059367601549	0.30713423668466566	0.2309851335935761	0.14269842812968453	1	1	1	1	1	1	0	1	1	1	0.13541013558311682	0.29235493222996617	0.04833074846973743	0.16274138953899087	0.05610496659691071	0.06999193255674874	0.013015374386993187	0.004443936837209148	0.10649508130287333	0.11111150249745358	0.6027727256948453	10.763094403703306	-5782.553510562928	0.13541013558311682	0.29235493222996617	0.04833074846973743	0.16274138953899087	0.05610496659691071	0.06999193255674874	0.0	0.004443936837209148	0.10649508130287333	0.11111150249745358	-46.52451508504639
12000	-5950.447315609221	-5830.8852640476925	-119.56205156152848	0.3636678436478862	0.17551980149740692	0.21471158201818602	0.24610077283652085	8.775013565698478	0.3396088273221421	6.240420282831241	0.20231714013478094	0.20314519930719252	0.19318419997218536	0.28529666728580605	0.11605679330003527	1	1	1	1	1	0	1	1	0	0	0.08564986585074089	0.11123813649798958	0.022027828942150635	0.26118183785235155	0.008563732815689423	0.13688125983331634	0.10869796682603972	0.014959212270767632	0.24496898652216031	0.005831172588793914	0.8494682394270383	10.690854283795938	-5785.120452812468	0.08564986585074089	0.11123813649798958	0.022027828942150635	0.26118183785235155	0.008563732815689423	0.0	0.10869796682603972	0.014959212270767632	0.0	0.0	-45.76481123522399
13500	-5955.113782935525	-5834.984773527008	-120.12900940851745	0.3636678436478862	0.17266075241623108	0.2145696379844152	0.24910176595146752	8.218578219963247	0.3417870540962634	5.24269418113715	0.23927010718178626	0.28571799381726065	0.13005643664183383	0.23733767057304453	0.10761779178607486	1	1	1	1	1	0	1	1	1	1	0.12441307846137961	0.032123697078691005	0.03236571794547368	0.1486270681854228	0.3162179110935422	0.19990291671857655	0.060665119986957526	0.04123870521283633	0.004143235505771696	0.040302549811348544	0.4179706861900111	11.436948191927144	-5788.737469974771	0.12441307846137961	0.032123697078691005	0.03236571794547368	0.1486270681854228	0.3162179110935422	0.0	0.060665119986957526	0.04123870521283633	0.004143235505771696	0.040302549811348544	-46.247303552236794
