	Bayesian Skyline: hcv_coal.log			
Time	Mean	Median	Upper	Lower
1740.052030186344	333.2657424355558	290.29340008089434	763.7861355947862	149.75419657479512
1736.7669916173354	333.2657424355558	290.29340008089434	763.7861355947862	149.75419657479512
1733.481953048327	333.2657424355558	290.29340008089434	763.7861355947862	149.75419657479512
1730.1969144793184	333.09460090683535	290.2634658056426	763.7861355947862	149.3887693053513
1726.9118759103098	332.81988438752364	290.2279172284465	763.7861355947862	148.94754593867543
1723.6268373413013	332.69312942056763	290.2279172284465	763.7861355947862	148.9380129709116
1720.3417987722928	332.741531136581	290.2634658056426	763.7861355947862	148.9380129709116
1717.0567602032843	332.6261125005865	290.2279172284465	763.7861355947862	148.26373282775594
1713.7717216342758	332.3149251268204	289.93293568993033	763.7861355947862	147.7356767181591
1710.4866830652672	332.22576114592914	289.93293568993033	763.7861355947862	147.67823067603723
1707.2016444962587	331.96160890602454	289.77141103319235	763.7861355947862	146.4453031130198
1703.9166059272502	332.0691703018689	289.77141103319235	763.7861355947862	146.07923458687443
1700.6315673582417	331.6963056042699	289.7610135972573	763.7861355947862	144.4481829707105
1697.3465287892332	331.1206542229292	289.73720398561886	763.7861355947862	142.8156681573976
1694.0614902202246	330.8229650152902	289.66586004159643	764.9553053449449	142.8156681573976
1690.7764516512161	331.398949028078	289.7610135972573	767.1073363180491	142.8156681573976
1687.4914130822076	330.63570231379947	288.8669586892286	767.1073363180491	141.18107260144197
1684.206374513199	330.1636302190775	288.2200412605573	767.1073363180491	140.43699491042253
1680.9213359441906	330.2380424635101	288.3975447307259	767.1073363180491	138.03403993407264
1677.636297375182	329.52729417451627	288.3975447307259	767.1073363180491	131.05798203969405
1674.3512588061735	328.60583947811745	287.97079569830737	767.1073363180491	127.06858517589583
1671.066220237165	328.610890455077	288.2200412605573	767.1073363180491	123.03434515088813
1667.7811816681565	NaN	NaN	NaN	NaN
