	Bayesian Skyline: hcv_coal.log			
Time	Mean	Median	Upper	Lower
1993.0	8348.80823455023	7645.67787889909	16971.467788608035	3954.308203468324
1989.7149614309915	8341.127808908184	7645.67787889909	16716.209941522728	4071.8257367583187
1986.429922861983	8341.542781958056	7678.982904175884	16326.51004234186	4136.027509657794
1983.1448842929744	8365.122864875397	7715.943409244284	16317.651901737043	4162.320617695043
1979.859845723966	8371.061903510274	7721.361827144058	16304.148623693705	4169.597351216452
1976.5748071549574	8387.522591502971	7722.316316737091	16317.651901737043	4169.597351216452
1973.2897685859489	8391.03941885018	7721.361827144058	16326.51004234186	4162.320617695043
1970.0047300169404	8377.904462923298	7719.662737182715	16317.651901737043	4148.848832146152
1966.7196914479318	8371.489103906899	7715.943409244284	16304.148623693705	4148.848832146152
1963.4346528789233	8352.492882446784	7693.096777216353	16304.148623693705	4136.027509657794
1960.1496143099148	8346.32650498526	7683.701318360331	16304.148623693705	4117.376901243166
1956.8645757409063	8333.896411149979	7683.701318360331	16304.148623693705	4079.856638093819
1953.5795371718978	8309.066122520864	7648.696637609234	16304.148623693705	3967.5515024971805
1950.2944986028892	8245.553359233592	7621.740976584704	16242.342213371774	3835.2073414873284
1947.0094600338807	8068.875057900803	7519.675128213696	16130.567113416751	2876.944475788898
1943.7244214648722	7645.37795354863	7272.716060516525	15783.549934093226	969.659748242681
1940.4393828958637	6921.8906969549325	6803.7762890681415	15526.76036793077	420.53455279413635
1937.1543443268552	5764.690249685482	5955.9556158200885	15082.991517156282	194.29735702681202
1933.8693057578466	4251.957422739906	2546.6043399579535	13461.726579107582	132.4676976835483
1930.584267188838	2625.1775836193965	448.1022434932392	12015.44667526746	109.2277296662785
1927.2992286198296	1449.4338824782328	242.23407638629286	10644.03586585521	97.64460226398093
1924.014190050821	699.1753855164358	203.666222769263	7545.855091914503	91.69030303970719
1920.7291514818126	378.77441058124066	187.85201313680713	1270.1489532572607	90.1323815559
1917.444112912804	251.32111139031161	184.3541371784633	512.2886216124069	87.3306675782194
1914.1590743437955	226.88387922797708	182.79389112588038	425.54008050636565	87.39661719349809
1910.874035774787	199.4623571521538	186.46830285228435	387.72026348042857	89.12636009663079
1907.5889972057785	207.04070459461286	192.38380026948732	413.25184962705475	91.78027106971655
1904.30395863677	216.4320093522759	198.32950104705216	450.3672022200428	95.38843375694653
1901.0189200677614	231.71292688779707	209.98307771390108	495.24892019112394	99.55149876739011
1897.733881498753	250.25191167009356	223.78913769759257	564.1083736743726	106.28748799976773
1894.4488429297444	265.79071932026915	238.06502080883973	590.7131699385948	112.12128265262423
1891.1638043607359	283.07926092799937	250.45099541718983	611.1627494346941	121.94139410476667
