Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	gamma	m.Hong_Kong_New_York	m.Hong_Kong_New_Zealand	m.New_York_Hong_Kong	m.New_York_New_Zealand	m.New_Zealand_Hong_Kong	m.New_Zealand_New_York	Theta.Hong_Kong	Theta.New_York	Theta.New_Zealand	psi.height	psi.treeLength	Mascot	D.treeLikelihood
0	-2398.1974613107595	-2299.1010012831475	-99.09646002761195	0.27096390629493594	0.22944609140824507	0.2210388602910214	0.27855114200579756	4.458072550005635	0.0029060817971614224	0.6595284722421888	2.5893092563984434	1.1792028866425486	1.1094266504697443	0.28975034248554815	0.44668090777853914	0.28016498081796803	2.5793802511901336	4.101559769705875	3.0339553533615544	9.77631880750923	70.91744295738093	-87.89257699657637	-2299.1010012831475
15000	-1944.1420493247244	-1906.159255008949	-37.98279431577542	0.35978740508495366	0.20111875244716318	0.2120500240965665	0.2270438183713166	4.328083417589117	0.004800514982818963	0.8151704317914987	1.5978658345390513	0.7835613930587301	4.308865542659165	0.5874702742242377	0.21729238076302457	0.18575711223570568	0.4816555751816266	2.1416905636499344	0.8719585989883137	2.9100419397626487	16.093036073525806	-31.653924939183188	-1906.159255008949
30000	-1946.5525912401204	-1903.1865851327225	-43.3660061073979	0.35904616562706465	0.2212340235546259	0.19601766081213945	0.22370215000616991	6.509826373881179	0.0036707095530020715	4.886612638386122	0.9131469033694678	0.40994407032348373	2.979593012955584	0.16133749852815296	0.4355681230307429	0.9443410227151402	0.5065374601731106	2.414584394920762	1.1027301391174376	3.3887280831159106	19.050485614484035	-35.24318772584058	-1903.1865851327225
45000	-1961.6396030864412	-1907.1740321198881	-54.46557096655316	0.3404188980993372	0.21026033130962868	0.21801789476018707	0.23130287583084705	3.938134459553456	0.003183389430795925	0.3000064577522936	0.5522647633897996	0.860964506143328	0.6275197047913138	0.15816032160380097	0.8355489026899295	2.3128867833913116	1.1325416062799354	3.7466439220009398	0.3567763609092281	4.592587994289744	25.69305152114262	-48.87453140279946	-1907.1740321198881
60000	-1947.27571713441	-1901.8100702937513	-45.46564684065866	0.3380378660728231	0.2197177184955586	0.213961356285746	0.22828305914587213	5.196675853076917	0.0033502032331508653	3.9384542890080025	0.08730987002843371	0.7328486402537602	3.3961871671955404	1.590313330336142	0.03755195039326491	0.9416800046898209	0.6126325606770046	4.004626799754149	1.2465873625639634	4.093129078444223	20.021354130227024	-35.34340044660223	-1901.8100702937513
75000	-1946.7119264125413	-1905.6942390488177	-41.01768736372344	0.33515324312410544	0.20729400896685013	0.22502662714640426	0.23252612076263995	8.383323861502888	0.004300572818538519	0.5350259893208438	3.030956321998864	0.37635720588405003	0.5094871422765257	0.6419756132523664	0.08376430700589833	0.5900835678063394	5.827451682237316	0.16471505504630918	1.2304559403457063	3.290498851064422	17.77994337856404	-33.592857817999956	-1905.6942390488177
90000	-1936.9813636854276	-1900.4356980314758	-36.54566565395176	0.3249581070774432	0.21343649713607535	0.22138210389784882	0.24022329188863262	4.151669495109765	0.004487493842606657	2.4309132444915837	0.4226059574303405	0.1857592398899907	1.665277980752057	0.669177192557707	0.03812878405640898	1.290823298575419	0.9764774256859383	0.9174872254303631	0.5880140166492378	3.321557136192895	17.9401587998923	-33.493401448836906	-1900.4356980314758
105000	-1957.0611558279008	-1907.7415635079244	-49.319592319976486	0.33072270417507	0.21586159982479203	0.20075985657108147	0.25265583942905673	7.689990594654345	0.0035655824603415924	0.5729562389941161	4.273844451101687	0.8280707937438823	1.398356609766463	0.7325128395574414	0.19890027914495825	2.1900846040948134	1.8123243790043346	0.8396778275714017	0.5585645087635251	3.3296477071488297	19.994048002910965	-40.21162426720079	-1907.7415635079244
120000	-1954.7892972912364	-1907.724059161783	-47.06523812945328	0.35794264757378996	0.22002429331579887	0.21150680916679307	0.21052624994361813	4.763604628787183	0.004171674678865276	1.0232096264305957	0.10693055224399917	0.6686675871213899	1.232678555893876	1.2007036509589064	0.29147118258463306	1.9973826425659473	0.7126698386250174	2.9835781646003645	0.6260731962451256	3.77837604971392	21.16265657560998	-41.87667244104982	-1907.724059161783
135000	-1945.8031428105583	-1909.8967406863308	-35.906402124227576	0.3309738425972468	0.20275181430470995	0.2175515373527349	0.24872280574530833	8.203204277553667	0.004596642609258853	0.44351992183185607	0.2270284782377619	0.05247232402081871	2.659364533398344	1.403039245504825	0.7865200218711714	1.6921715221094638	0.8882457681896927	1.085035668277868	0.4123929847894452	3.0452677410613607	16.444377050025633	-31.030008809386455	-1909.8967406863308
