Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	shape	groupSizes1	groupSizes2	groupSizes3	groupSizes4	Theta.0	Theta.1	Theta.2	Theta.3	psi.height	D.treeLikelihood
540000	-6637.570205347607	-6176.657390134056	-460.9128152135506	0.17468547015532085	0.33461951693933617	0.2385555395693825	0.25213947333596026	0.04527212721140917	0.3579168893038832	0.06919725800747786	0.026921570723135016	0.46341907291880274	0.03727308183529127	0.38729319619951613	11	12	33	6	7245.376853966234	467.87082317428775	143.89311976895902	459.3175760438176	521.1494951634361	-6176.657390134056
560000	-6623.957466260711	-6157.6671034571555	-466.29036280355564	0.17359518978209218	0.3465947180679967	0.24464372164009335	0.23516637050981767	0.045080742936260985	0.3713009113776144	0.07025287159609635	0.029564459839882724	0.4508049922207827	0.03299602202936224	0.3366542409019489	13	28	12	9	5853.240447923089	200.12818200803397	148.58958889873747	338.339711424552	414.27615110749144	-6157.6671034571555
580000	-6628.99946790096	-6166.866695772847	-462.13277212811266	0.2165639690316467	0.32143646413310945	0.20564424033460632	0.25635532650063714	0.04704562339262942	0.3536905876243483	0.07417179000351146	0.03234684440302266	0.44614337090605466	0.04660178367043287	0.3398400862335215	10	8	40	4	12665.209940785908	314.33106163130833	244.39921131666247	271.35658803186055	444.28200448828983	-6166.866695772847
600000	-6606.624538310197	-6154.399383859137	-452.22515445106	0.18181053550205029	0.317988443464297	0.22309700880529182	0.2771040122283606	0.05232524343230112	0.3983629777985848	0.05173028428045023	0.03489955755251936	0.424831088645602	0.03785084829054165	0.3207650607571153	12	4	42	4	6143.7430379530915	267.92870298951806	128.19542829152792	234.74977101127502	393.9763697905343	-6154.399383859137
620000	-6655.114196902172	-6168.8943335619415	-486.21986334022995	0.1916092604424715	0.295465031936532	0.2665578882217189	0.24636781939927743	0.053386850296706305	0.3000906992877886	0.05768256554656787	0.02912355347322381	0.5248497046362119	0.03486662675950073	0.40460310541980427	7	4	50	1	6795.071113707529	6725.169609376075	345.8168702058607	879.0017727730774	493.30376254326796	-6168.8943335619415
640000	-6627.493191818146	-6165.637898476474	-461.85529334167245	0.20563754444191754	0.32010624412013905	0.22642662161570973	0.24782958982223371	0.049388250221856236	0.351248610745686	0.048994344775341814	0.039309767714281935	0.4648956262260029	0.04616340031683029	0.3697638093880895	10	2	38	12	9928.063880944192	2939.579258044577	253.19760816725451	286.69092740714126	417.7019073277773	-6165.637898476474
660000	-6629.8701507611295	-6173.166983805303	-456.70316695582596	0.20983747374473533	0.31815728876220234	0.23997751887697363	0.23202771861608876	0.055605792239169276	0.3627803016963328	0.05635565465751738	0.019239345361373162	0.45585746689543166	0.05016143915017508	0.36400874512806736	1	14	41	6	6868.588148741969	5590.0839780221095	172.235622687789	696.1839087782075	448.989459129854	-6173.166983805303
680000	-6635.38344446898	-6169.067002791186	-466.31644167779405	0.18548296037254505	0.34721076076586843	0.22336628744938605	0.24393999141220057	0.044830081636546074	0.35504220165401096	0.05884651150170101	0.02770832948900118	0.4642108318114173	0.04936204390732303	0.3655648931782762	13	4	40	5	7374.927093989071	1272.1490992724202	131.90626190059595	859.8359375109501	435.57427532995126	-6169.067002791186
700000	-6621.93533409071	-6162.443112706394	-459.4922213843161	0.1818254719837753	0.3512261821976871	0.20302379185351416	0.26392455396502357	0.04621366101958273	0.38197163279714114	0.06039647450491689	0.03222501395649222	0.44363622292872723	0.035556994793139375	0.39345506522751994	3	12	38	9	6430.410280460574	6025.997813157593	154.76047261264065	272.2612851966548	425.06401655295696	-6162.443112706394
720000	-6631.905772820956	-6168.010533375149	-463.89523944580714	0.17737887275633002	0.3292270569747165	0.23666165076555615	0.2567324195033976	0.05986346574307675	0.38266512257112373	0.0782456858434992	0.026477617351754384	0.4204121849769718	0.032335923513573714	0.3161046235570704	7	10	39	6	10570.490458478374	2819.335062249957	187.61532500744875	443.63946657866006	423.17973734043176	-6168.010533375149
740000	-6632.278091148829	-6168.306420610827	-463.9716705380015	0.19185779600095823	0.2963236384144767	0.24544445385524608	0.2663741117293192	0.060571726987122564	0.3248900289649183	0.052273170392062536	0.02336619989128915	0.5006407564826298	0.03825811728197719	0.35222494698008616	15	30	12	5	9045.086102950936	182.12464175129756	113.82704337805305	575.9882313883503	455.9869412201362	-6168.306420610827
760000	-6622.392891702869	-6163.922566503132	-458.4703251997372	0.17492492458587394	0.32587127903914803	0.22677497574865055	0.2724288206263276	0.058001025720285405	0.40798785135474774	0.05827826845877834	0.02528543198605172	0.4172353016527856	0.03321212082735086	0.3526288569098425	12	16	27	7	4687.619568410791	315.3568451488297	148.23174638277013	381.7406190104122	462.2593886232967	-6163.922566503132
780000	-6644.561298094935	-6171.052288818976	-473.5090092759595	0.20607030647188193	0.3377761227241602	0.18284125348449512	0.27331231731946265	0.03800507748350978	0.3930993308550157	0.047454988139589316	0.03386304076162318	0.45203694078117934	0.035540621979082365	0.3497593740457161	11	8	38	5	14578.407309243601	1236.417261819217	191.63918673453634	692.5186340920478	452.8053509345531	-6171.052288818976
800000	-6627.532108244902	-6163.027900171547	-464.50420807335445	0.20506806797160504	0.3343139803973799	0.25704232254285986	0.20357562908815516	0.032784870044249056	0.28908280717653145	0.06356645494819113	0.02056021037930567	0.5327619104541899	0.06124374699753228	0.2953147330213125	7	11	40	4	6461.198738548282	1913.6916697719673	194.3253307080896	525.9709171134873	357.4184771351577	-6163.027900171547
820000	-6652.10671762024	-6179.656788025473	-472.44992959476593	0.1962888363078141	0.32081940332711706	0.2408670385934433	0.2420247217716255	0.04685572158870231	0.3441745610492579	0.05923682870637379	0.03414933887433297	0.46907701557665743	0.046506534204675105	0.3388299448000496	9	9	37	7	7719.2774288573455	2101.725779489825	177.26556366616438	344.06063419098393	498.47099847622593	-6179.656788025473
840000	-6619.519759627536	-6156.635967559944	-462.88379206759186	0.17803702720553422	0.3590498205073499	0.2056190370955624	0.25729411519155365	0.036616291161148375	0.3853119299089814	0.06680387499956848	0.02136451895152223	0.4410766499015387	0.0488267350772403	0.29997890651822573	10	12	35	5	7049.351190893025	876.0397900613607	123.03273348806245	450.54571755942004	424.29714543210355	-6156.635967559944
860000	-6624.007090604798	-6159.106897009961	-464.9001935948361	0.19332422879927566	0.339133376016762	0.2114158725590641	0.25612652262489854	0.0487390892684767	0.36216674970880036	0.062146513721227266	0.031705390266843325	0.4562044537778536	0.03903780325679801	0.32679925699594164	15	6	33	8	6173.651203555827	997.7590639906058	146.20605626566518	413.61797705926426	467.96693245534726	-6159.106897009961
880000	-6618.832181721268	-6166.182387478689	-452.64979424257905	0.21954613837998233	0.3099524270549762	0.23904619444616723	0.23145524011887453	0.06317873666178493	0.3198817477524956	0.05668999702413781	0.018555002719475522	0.4954733834778608	0.046221132364244716	0.32130178875029375	14	3	38	7	6036.56847528324	468.5890024241821	113.53182575386371	413.2230827374373	418.2173002215444	-6166.182387478689
900000	-6628.173206878504	-6164.807332562682	-463.36587431582257	0.19569858716072763	0.32337973468030046	0.20178707233989313	0.27913460581907906	0.05371606118853394	0.39571024450815706	0.058109684855489965	0.0294276402031598	0.4284582706230964	0.03457809862156219	0.3040327173904676	12	6	40	4	7147.580208689961	2394.8979624571703	150.79412085373582	387.9942367747824	412.2200972741795	-6164.807332562682
920000	-6601.653333081837	-6167.21627249088	-434.4370605909569	0.1654243941775681	0.3235222567802745	0.22934853163115765	0.2817048174110002	0.052643193745763206	0.36531144151567757	0.05951875227869291	0.03227299299180063	0.4453311556509584	0.044922463817106684	0.3341286771733528	10	3	43	6	10371.615114887987	1241.0753759269567	88.49238076668013	237.67312297060184	351.7995858669094	-6167.21627249088
940000	-6637.640718170136	-6183.6375761166955	-454.0031420534402	0.18122137725149498	0.34332381799782086	0.22168318995576775	0.2537716147949166	0.054240009895092665	0.38128356335438585	0.06315301724894952	0.027858727512812237	0.41686295769056636	0.05660172429819274	0.3569180655170224	6	7	43	6	9702.538710568424	9470.935293911723	103.65255252735405	404.3579830764201	416.14495611205507	-6183.6375761166955
960000	-6607.936621733668	-6155.812881714336	-452.1237400193324	0.203292616405486	0.320641851082446	0.19920797047697855	0.2768575620350897	0.040557237099588805	0.39297591597784615	0.05223746492944227	0.040075034926893634	0.4324260014638032	0.04172834560242511	0.32659114896553426	9	12	37	4	11173.88107195719	690.040538126606	134.880229009256	493.0454856594829	382.3846747302078	-6155.812881714336
980000	-6610.094412586183	-6156.051001622076	-454.04341096410707	0.2091590202067774	0.3224495062343188	0.2148447592845609	0.25354671427434333	0.03778263032713225	0.37086832141767384	0.06526102330780809	0.029879220644872993	0.43758034756153236	0.05862845674097949	0.32786121457824363	8	17	29	8	13106.435364384344	665.7685262179231	92.5315116570704	309.76001998243265	441.6279581732535	-6156.051001622076
1000000	-6643.080541178297	-6167.683179018793	-475.39736215950364	0.18713838401424146	0.3268112677703926	0.2270050575257018	0.25904529068966453	0.051366328793974486	0.3477077467142113	0.045147830640799844	0.029345771965862785	0.48491918312588744	0.041513138759263296	0.3957106306966941	12	13	32	5	6794.392437456681	930.0707507010917	135.44449289159252	607.684906548777	521.2019780309735	-6167.683179018793
1020000	-6623.753471527233	-6162.690472616488	-461.06299891074576	0.17875818119622083	0.35321451836991646	0.2180829841634096	0.24994431627045338	0.046929396942163255	0.4073986417890245	0.07004614674829589	0.02799817070750674	0.4005422971493189	0.047085346663689825	0.30793655830922595	11	9	34	8	8443.873871658532	1962.4039791304742	110.14226620121842	240.06462265095146	365.9198654466762	-6162.690472616488
1040000	-6620.036827129326	-6161.203434056833	-458.83339307249327	0.19809693736160433	0.3026952228193135	0.22946543453602475	0.2697424052830578	0.052465557566883265	0.3632408688378673	0.05792778955654946	0.035117130131189646	0.45039273473105784	0.0408559191764517	0.3165306895489148	10	12	36	4	5282.947603188197	624.4538305455625	198.1051293791482	610.8697766694409	384.4628206471177	-6161.203434056833
1060000	-6644.924527005319	-6173.620362457527	-471.3041645477914	0.19304498256320968	0.3487975688521309	0.21374280411608648	0.24441464446857306	0.04314600312740273	0.34173852219665823	0.051428530335694035	0.02614627154324237	0.4918666972351822	0.045673975561819534	0.3971018038015769	12	10	34	6	7429.3651749637265	655.0837344176565	177.56775570566896	666.1211946742959	457.3834209019595	-6173.620362457527
1080000	-6622.8739164281205	-6158.411491839935	-464.46242458818625	0.19828790628746754	0.3231792967635503	0.2125009935603816	0.26603180338860066	0.052290291010238195	0.3414210040576213	0.05688682725304754	0.028805865970151688	0.47283271745335304	0.04776329425558722	0.3553292774323533	11	22	25	4	5026.543506543339	313.3643278630427	209.94441163389868	665.9739909409852	356.8508946226755	-6158.411491839935
1100000	-6626.068136748012	-6166.703691025393	-459.36444572261956	0.1901483662390445	0.3075156139495276	0.23861035185370452	0.26372566795772356	0.047944548765695885	0.31270504117210607	0.06614894554499608	0.026944940696427503	0.5130852353114852	0.03317128850928836	0.31706323521020424	11	6	41	4	9097.435620637529	437.26119954146355	162.41139352684831	261.0706036673646	495.6822045768186	-6166.703691025393
1120000	-6610.819569486553	-6168.562122775858	-442.2574467106944	0.21258062157085944	0.3062937109111314	0.22506150112172207	0.2560641663962872	0.04006615324356691	0.3506195288740371	0.0578370190951735	0.03435590943194926	0.46638143642237534	0.05073995293289715	0.33791183628101057	11	1	45	5	8310.311558142914	484.2370528093532	129.50119950916093	190.653336905822	396.41901280648386	-6168.562122775858
