Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
160000	-6072.878079269656	-5484.073908471661	-588.8041707979958	0.4571056355167627	0.2649873974835814	0.10429456433989323	0.17361240265976283	0.31620351484879333	0.397735784322455	0.08471066564111626	0.20135003518763558	0.3475823118187709	0.379146580851166	0.07064112397962287	0.20262998335043989	7.2088007849555265	8.505036209633749	12.075639030979922	0.7980888646719624	0.8860847042785249	1.3148649494527143	0.002431386392014275	34.16714035573891	52.56997985910438	530.9797664154331	-1444.1000208213507	-1781.9987553557946	-2257.9751322945153
170000	-6062.5271175142525	-5471.892001320763	-590.6351161934899	0.501112176930579	0.22182544825501838	0.10696828540472124	0.17009408940968154	0.2992344641708179	0.42206494424028657	0.07639270430300413	0.20230788728589164	0.33758699684224086	0.4075120571464808	0.0814341851596605	0.17346676085161755	8.448683837881266	9.478188564059726	14.94623181183966	0.6298442548388153	0.961872386882234	1.4065207118734229	0.0023896547752523785	35.238841518035784	53.01838491549862	518.5429032612454	-1430.4574150257563	-1788.6622896900726	-2252.7722966049337
180000	-6090.458363413251	-5498.040557502285	-592.4178059109663	0.47298266778182574	0.2641826639735554	0.10867492663976772	0.15415974160485116	0.3015350103993234	0.44143947439874437	0.0748995035109842	0.18212601169094825	0.2873082158767022	0.41684911611659653	0.07565174890783913	0.2201909190988619	5.906651611898437	7.734342595014348	9.958656961356473	0.7220134798284457	0.9715324443591669	1.3051303304782387	0.0024277960015983793	33.86956762104558	56.65276195041735	540.8979554278335	-1443.180170985799	-1793.9588456756505	-2260.9015408408363
190000	-6073.083236666938	-5481.446996489404	-591.636240177534	0.4694221898614994	0.23820300558670732	0.10889451705944522	0.183480287492348	0.305447548675211	0.4084740480677966	0.0905793599255947	0.19549904333139803	0.31500606659263375	0.378400776579192	0.07149579057285751	0.23509736625531663	6.162918076325615	10.272186925113882	8.832639095304845	0.7107437610749833	0.8855655574115029	1.4023132708519677	0.002355595265611645	36.2372906219467	54.074491641067794	550.4123704287728	-1433.6039649818968	-1789.9975916517894	-2257.845439855718
200000	-6073.6273727185	-5482.034328188407	-591.5930445300933	0.4736882905712215	0.26247807890067293	0.11052476748074512	0.15330886304736033	0.2838984389607969	0.4238275626820964	0.10965326540723418	0.1826207329498728	0.33306691136065253	0.35894873652358084	0.09199042767539034	0.21599392444037618	5.919131996286319	8.027161206619272	10.274489540598767	0.6808828301213947	1.0652642578469633	1.2523333064607927	0.002317888427792479	36.15625189295103	57.21806739957081	551.9805192306692	-1437.6597988200501	-1789.4926942004554	-2254.8818351679015
210000	-6075.475275959716	-5470.570299574963	-604.9049763847529	0.5265815491420095	0.24492703825503548	0.0847887500839431	0.14370266251901184	0.29575197940917475	0.4233129932373462	0.0845244465255617	0.1964105808279176	0.3307986808330835	0.38434768201983727	0.0666040551972659	0.2182495819498133	6.935082880824728	9.034689275480089	10.897567672706348	0.6415510327188428	0.8803769330655501	1.476365134371412	0.002116117651925952	39.60475044315518	52.82304348336813	563.2282468937209	-1434.1456640661052	-1780.87202397115	-2255.552611537708
220000	-6100.384830976592	-5478.468804798251	-621.9160261783411	0.4396852639961297	0.2515143901575342	0.1079770845189687	0.20082326132736722	0.2995097681163929	0.4274742331126353	0.09457895479191415	0.17843704397905774	0.34165261669633656	0.3495801216179418	0.08386892093092434	0.22489834075479728	6.291097611446597	9.836588002812638	9.166234908531898	0.6075872654347024	0.9983993530029129	1.392144749493027	0.002104299440544418	41.37503229126721	54.73360425170476	615.651226505854	-1439.3008930161614	-1788.0702117984106	-2251.0976999836785
230000	-6107.308348238236	-5493.636332160724	-613.6720160775119	0.499494137753874	0.2163081047277105	0.10217907500207428	0.18201868251634115	0.3022813976567794	0.43471800384406745	0.08419888041557966	0.1788017180835736	0.3083362937172866	0.3879221356885897	0.0852985593285635	0.21844301126556015	6.289857330079235	10.450267415645595	11.07210088983606	0.6105122878588766	0.9607356824875931	1.426897326262383	0.0020395936089514454	43.29471243803066	61.81115986910005	603.4753197982346	-1446.6292580197066	-1795.4741639331342	-2251.532910207883
240000	-6091.375709645438	-5486.737265807975	-604.6384438374635	0.462893032242363	0.2712055377237309	0.09954380518579257	0.1663576248481135	0.30207524079192694	0.4142976923073449	0.08552901423578221	0.19809805266494607	0.3262323895046379	0.3937041646711276	0.07800300833777835	0.20206043748645602	10.300466104410896	11.52462984986407	9.992943601257673	0.7074435814895411	0.8787979057617326	1.4123653869462967	0.00215523531880589	38.83748303001706	54.79759477573418	574.9744644981969	-1439.2058065352148	-1793.780191101348	-2253.7512681714124
250000	-6079.22386379786	-5477.680099926101	-601.5437638717583	0.5047365064054552	0.23392891188807796	0.10511718367718527	0.1562173980292815	0.2826525900839269	0.44532527816045697	0.10422115686671657	0.16780097488889967	0.3277215341109835	0.3753532226420708	0.07726744080192977	0.21965780244501568	5.671239807992699	12.23852615709787	11.579533233390729	0.7478202633665181	0.846385133981393	1.404593746763359	0.002072666249117942	33.67174638740252	56.79950980901811	579.0666643405987	-1433.2651870140169	-1787.102970840798	-2257.311942071286
260000	-6092.077964645679	-5492.684407408133	-599.3935572375461	0.5103182232428927	0.2551828241114463	0.08980299151948193	0.14469596112617913	0.3572336188199166	0.38886705412439704	0.08517261610567119	0.16872671095001524	0.32510591672747297	0.3913940555893374	0.06959989650393603	0.2139001311792534	8.118805871270654	9.694542149084567	9.412721642051547	0.6921731699165214	0.9218511237195905	1.3845098643158722	0.002142813598826563	31.08068751754334	57.5036457613646	570.93615385505	-1440.9723395912456	-1786.79975084896	-2264.9123169679274
270000	-6079.648929454026	-5475.729814019531	-603.919115434495	0.47244444735922886	0.2420366143079643	0.12716425357564895	0.158354684757158	0.3290939847001743	0.4015742805341088	0.10165160394363865	0.16768013082207833	0.30863041101627886	0.39359897435637164	0.0712224474420135	0.22654816718533574	9.223262395703482	9.44643836085941	14.560807452757201	0.7381013325812331	0.9462391283101588	1.314412402597091	0.002211606390843144	34.25133087091712	54.84540612755166	564.8472062387392	-1441.456209414188	-1783.849138588499	-2250.4244660168442
280000	-6062.490717235588	-5465.62293521532	-596.8677820202682	0.495638924039158	0.24642784490292866	0.07640230563114142	0.18153092542677204	0.2734660593636852	0.4346796372057966	0.11128131801696597	0.18057298541355232	0.32213505946296617	0.4011822750347589	0.08574416645579302	0.19093849904648152	6.926277951594619	9.117364437702205	10.89980792075275	0.6693552201575225	0.9747683587148948	1.3543019221759525	0.002296492998146294	38.292876508454476	55.224032443494096	553.7014423917146	-1432.8971594328639	-1779.8703109954415	-2252.855464787014
