Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	clockRate	shape	b_m.Hong_Kong_New_York	b_m.Hong_Kong_New_Zealand	b_m.New_York_Hong_Kong	b_m.New_York_New_Zealand	b_m.New_Zealand_Hong_Kong	b_m.New_Zealand_New_York	Theta.Hong_Kong	Theta.New_York	Theta.New_Zealand	tree.height	Mascot	D.treeLikelihood
15000	-1948.1273014367098	-1904.8086307142114	-43.31867072249843	0.31589294117095446	0.2248936755548963	0.2251671169316801	0.2340462663424688	3.5831017899509767	0.003424247363528445	0.2600245022838913	0.22004301878139565	0.5214181955313736	0.13152902349600665	0.5494262631889816	0.48993080330118005	0.8068963381889936	1.1216219435964376	2.6179772188740578	0.3010281159234019	3.57703080005656	-41.77440046274757	-1904.8086307142114
16500	-1951.2339252133108	-1906.31290624388	-44.92101896943096	0.34654937058163987	0.2248936755548963	0.19451068752099468	0.2340462663424688	5.976383396721784	0.0037780537166805903	0.2634254135856663	0.295337362065901	0.9548801197760387	0.1311887543171593	1.2054528119980548	0.6561922125278973	0.5600255609814466	1.118970513167562	3.935806070057495	0.3835642613604324	3.5432058132925226	-41.103808287055344	-1906.31290624388
18000	-1953.4150473212073	-1904.353862104718	-49.06118521648932	0.34654937058163987	0.20110323993662904	0.21830112313926195	0.2340462663424688	7.389043596584436	0.00369288145428483	0.21384880458758262	0.44294218222350107	1.020029330928852	0.6027324633016707	1.027969482274803	0.9099706646243054	0.6314782779859763	1.1537417417976459	11.555803435505084	0.6062404902307499	4.269038261892965	-40.84053236293807	-1904.353862104718
19500	-1962.3944832843133	-1910.8111493410624	-51.58333394325095	0.362612930934061	0.20494896396714862	0.1997125615682184	0.2327255435305717	4.407734313292208	0.003742260991474065	0.21351841045518877	0.31456019322998796	1.2140029347045886	0.7308378817036757	0.7624555337471594	1.0026662897948406	1.152870466159129	1.0971200242241645	9.280185633217192	0.33394982945866153	3.8862536328407056	-44.51087891868771	-1910.8111493410624
21000	-1957.1723040031372	-1904.1022784856618	-53.07002551747534	0.3257652553265317	0.21824485200185612	0.20868839147968324	0.24730150119192865	3.0013608354449595	0.002638235715280521	1.0240066168645594	0.3954045155102857	0.5784456216401104	3.226924267163648	0.15154992807706938	0.9359027465689576	2.1609660073965204	1.3966375130814874	3.219198619394058	0.5254560008260959	5.125279193248031	-43.22708486539545	-1904.1022784856618
22500	-1952.5129081066184	-1905.6088438289503	-46.90406427766822	0.3371790373858628	0.24270635933994011	0.20868839147968324	0.21142621179451357	7.409878273302215	0.002655307106128699	0.629790391140359	0.8078936566854465	1.4047875541610868	0.8127079188756157	0.4837929341167467	0.5678015282412624	1.5964809199447798	2.1604909698841093	3.1050528026777195	0.12927047852898793	3.8049899784450423	-37.034179541061675	-1905.6088438289503
24000	-1951.2329676737697	-1907.9386153570704	-43.294352316699346	0.3371790373858628	0.2255628550688769	0.22838372731475967	0.20887438023050034	5.923915038143588	0.003740951768168077	0.43968959562945503	1.04038124078251	0.5706831567852646	0.6131871853718941	0.30797579966519995	2.035355945852693	0.2591369177867223	3.2179271558970286	1.4414386679709177	0.20461642689275278	3.765534036237281	-38.05164989676683	-1907.9386153570704
25500	-1948.7119533389937	-1910.1845566070506	-38.527396731943206	0.3571536961166914	0.20985183569480273	0.1913417873538434	0.24165268083466224	5.930459591193557	0.00494979177064636	0.26038934604688135	1.3209799190888076	0.07300564903551589	0.3073042033532727	0.38196400846883033	0.9643580517675941	0.045331141256603265	2.0788991121386062	0.9970270212250978	0.45322842925774265	3.6818182002004898	-37.18462972703177	-1910.1845566070506
27000	-1948.8289840644939	-1909.1740302068192	-39.654953857674606	0.3303928919480265	0.2350548000065523	0.19679595595845037	0.23775635208697063	6.271469146150311	0.004628046278950387	0.3022736329223116	2.6311150127812843	0.7342582628069061	1.2853012936220567	0.5001502670925074	0.9643580517675941	0.10946363466612731	1.0409777608162893	1.0129367792229427	0.4337882230142724	3.33861035898112	-36.01210421655007	-1909.1740302068192
28500	-1943.9478658202868	-1904.2867731799147	-39.661092640372125	0.3191385502601472	0.22761883137134786	0.21146178847211605	0.24178082989638866	7.348229743099741	0.005317657388039454	0.37816700552405913	1.4153606289234806	0.39776033720257764	0.7633469674796851	0.15248314334874102	0.5857634614108932	0.36199277969973415	1.0125625019264208	0.46704865788370453	0.534284350091236	3.177789905780561	-38.5095759355065	-1904.2867731799147
30000	-1946.3559502171806	-1910.3657598014117	-35.99019041576889	0.3691346250457455	0.22763418413829842	0.20458050085067062	0.19865068996528515	6.595217833782851	0.004817415354319179	0.26456672342243637	1.1706630552206956	0.3661042889172687	1.2973679931658135	0.09551407748085129	0.6744903309941014	1.3492004929402293	0.4403104248017627	1.2833007697832397	0.20918553481599492	2.8124743015281664	-33.67790923124329	-1910.3657598014117
31500	-1947.2145417907088	-1913.1470107607756	-34.067531029933136	0.34387118537264905	0.22597450216092635	0.21705373726796548	0.21310057519845885	3.460103963535299	0.0051296754836462795	0.12667964727698672	0.5641007463745653	0.04969738155746856	2.632704334200081	0.021331808804544994	1.1073397046884577	0.9533443807717714	0.706813822942444	1.2292403232187445	0.2249114324480514	3.467776487850914	-32.57032710475443	-1913.1470107607756
33000	-1948.5369774476617	-1916.2493604366782	-32.28761701098353	0.34480337248333437	0.23488657243792693	0.1944964950899357	0.22581355998880273	2.3818691491400834	0.004255394458720707	12.507543995251241	0.34316787794551545	0.2892847239823322	2.632704334200081	0.05754011002214609	0.031367094058968564	0.6704781923282288	0.5897173848832974	1.3520182110525165	0.4881434480574451	3.3267397233000526	-27.660504088480337	-1916.2493604366782
34500	-1937.0536655294559	-1900.574109648037	-36.47955588141896	0.3348593068790455	0.23777873458171814	0.2082583673612992	0.2191035911779368	6.510041816523803	0.004068067409859258	3.907048612956192	2.0958503863915214	0.1989152366541258	1.9057944874487749	0.19249380967837978	0.0711823052096913	0.4308401146130734	0.3509172236103341	4.272433007482511	0.8382718509366837	3.010024949073264	-29.05231473222642	-1900.574109648037
36000	-1941.8871850507155	-1905.64903697405	-36.238148076665624	0.34619455562831924	0.23777873458171814	0.1914116688548119	0.2246150409351504	3.914365646191108	0.003608443203373273	2.2449649938221325	1.4760275039015356	0.517479646936698	1.280720670660553	0.7074370533033305	0.3004082495276351	1.5175997760007847	0.20466494348072076	4.464987043859768	0.5420506227589459	3.796908415659339	-28.88756084273942	-1905.64903697405
37500	-1933.9498276334948	-1909.2403326298377	-24.709495003657224	0.2937592166194559	0.2533004134458794	0.23345730938468237	0.21948306054998196	4.884686178596328	0.004975462234517598	0.7065705743673278	0.42930328488057684	0.2880077665681449	1.421699146726286	0.2349451839857584	0.2912296522856517	0.3758264072948835	0.5599015437469477	0.8359686786118882	0.2614318110993831	3.0208585918494117	-24.536418615650764	-1909.2403326298377
39000	-1946.3702779485438	-1908.8078711275843	-37.56240682095947	0.3418284464994279	0.23061800865832624	0.20807048429226357	0.21948306054998196	7.269086255881248	0.004368831374917504	0.4423670671785556	0.36147337222874826	0.31094096903477736	1.6299248255600571	0.11459739264647861	0.2988826037859315	0.7185154008253969	1.1019695744880267	2.5776297233281773	0.5192432336990079	3.178373558172609	-34.65258293892084	-1908.8078711275843
40500	-1945.3017564253382	-1908.5856148024739	-36.71614162286432	0.3388224110503802	0.2162654708727699	0.21389888215107752	0.23101323592577205	8.065056482261765	0.0050723783312663405	0.6468899357733147	0.1862867834377452	0.49214067753315294	2.2090198116059105	0.10834760742732354	0.8547073258940043	0.9174840186228373	1.010069363691202	0.6915295068441099	0.5119948026509719	3.1150999688653065	-33.77295902455331	-1908.5856148024739
42000	-1947.7070981861505	-1907.7484876912579	-39.95861049489255	0.3342347897770929	0.2162654708727699	0.2099118419174638	0.23958789743267306	5.53670113482061	0.004747078051053532	0.7006480253375712	0.319438955341837	0.6843800912320936	2.44557612885486	0.015011505810096812	0.6544589403852539	0.07126048341253681	0.755027885791305	0.4032539747670632	1.031442000676717	3.9256683886061237	-38.13381203674002	-1907.7484876912579
43500	-1952.6609660795884	-1906.8167129489477	-45.84425313064061	0.3314159117166144	0.23878748043680165	0.20804231588631802	0.22175429196026555	5.597668874542464	0.004527931414270181	15.519164983111638	0.8003387775227051	1.2156699319851834	0.6656451770679584	0.07767960624755976	0.919720759985257	0.07126048341253681	0.7089818355165327	5.470522441777529	0.38545372273138756	3.6276560399376474	-37.350127242809194	-1906.8167129489477
45000	-1955.3443607333274	-1914.0507234263268	-41.293637307000715	0.3464171127831113	0.20857951218523493	0.19974836597424991	0.2452550090574035	6.137878237209473	0.004199741744739223	20.281241628551438	1.0998516197877457	1.3688716314781308	1.0917916844952125	0.13124688317735114	0.38503767714461434	0.6671639095120903	0.2653129993504004	3.80507736811064	0.6419608430161118	3.6137692743461383	-32.00960372911004	-1914.0507234263268
46500	-1943.695035158805	-1905.5760719245807	-38.11896323422435	0.35682195030204933	0.21812147610112023	0.2114912545942747	0.2135653190025554	4.49757383887264	0.004741934602567702	1.325882396071105	2.6977184072580167	0.7223940652499691	1.856823776088666	0.043088605615484825	0.43828663276063573	0.724458939245947	0.12708343761799015	6.164548381841972	0.43937165144086404	3.6046343291594303	-29.86547859483994	-1905.5760719245807
48000	-1940.989678525395	-1905.8373843193315	-35.15229420606342	0.3424036855489325	0.20266043399242908	0.21444953603549194	0.2404863444231461	8.857126445878086	0.0052590615552131565	4.795679418799221	0.11153909923329063	0.7380123480532161	1.726973752063406	0.05358218114835457	0.4454427941635756	0.8482628803260102	0.15597425259470798	1.2023572745102673	0.3826273434348251	2.7522415138016716	-30.232078484891318	-1905.8373843193315
49500	-1946.0152327163823	-1906.158506408287	-39.85672630809533	0.3534018311844175	0.20266043399242908	0.20573905149164742	0.23819868333150565	3.24894842281641	0.003923037094962885	7.8829449648919265	0.21333493196000453	0.9601719109688945	2.1565740557697874	0.0017586342094259295	0.7866146936738245	0.38821418474942926	0.41082505801126307	3.6174199103515763	0.5670669472556508	2.955918007602947	-33.25019485578944	-1906.158506408287
51000	-1940.3411800896583	-1904.4816527647413	-35.859527324917124	0.3379593893955052	0.2398990694017872	0.20073072363101	0.22141081757169725	6.191395326705099	0.005155290662596008	1.9859884341848586	0.4724691930204961	0.5293520310878039	1.3253131528923898	0.04067957102742934	0.23307471399737692	0.38821418474942926	0.712354397655229	1.2400998788548367	0.8295826999940734	2.7457501350106863	-33.41420816326516	-1904.4816527647413
52500	-1941.8732819190654	-1907.4119484145876	-34.46133350447782	0.33760828175072366	0.22346052185458137	0.20861979050721272	0.23031140588748192	5.610185464509994	0.0060072384971172	1.4378291060747006	0.22432457416859947	0.27350459465897503	1.8989473256852194	0.014217605905511735	0.5723304248896159	1.1393023244725333	0.5846047950826423	0.6420491595214027	1.3235097047872055	2.745342755337917	-31.192431066044715	-1907.4119484145876
54000	-1939.5601248945206	-1902.834460398084	-36.72566449643668	0.3355013922799088	0.2267067033553498	0.2074804984772591	0.23031140588748192	5.1311120856622825	0.005200742619419898	0.4263492261708126	0.417953519824633	1.161938945165283	1.1399992769067488	0.11445535553485862	0.5588474789910971	1.0210305594015328	0.5846047950826423	1.4859454224141297	1.5675410155197607	3.501359935291015	-33.78734454811135	-1902.834460398084
55500	-1948.736724848462	-1905.317388158471	-43.41933668999101	0.35780771683009455	0.22463956275377434	0.2074804984772591	0.21007222193887165	7.293492886554855	0.0037997929913519664	0.5425866093872245	0.6704059207372928	1.161938945165283	1.2009264704804876	0.1884468299324042	0.28148740845810005	0.5350129515885431	0.3680307496314366	1.38169236992517	1.4131416087543966	3.8159116409329044	-40.162054167298805	-1905.317388158471
57000	-1938.3094132915542	-1905.4095912218393	-32.899822069715	0.3562754969245419	0.21961740339579416	0.2090127183828117	0.21509438129685182	5.543224030852103	0.003826257488500425	0.5914207124856302	0.2780254822635261	0.09608138402735172	0.7597839512799999	0.04023813523548806	0.41904175347061257	1.24603896439631	0.8537321145668407	0.9702732423315114	0.3893270559982579	3.7953717139979153	-32.17346423917863	-1905.4095912218393
58500	-1948.2938581415244	-1906.8787220346285	-41.41513610689594	0.351322871334459	0.19583080914082407	0.21192875530371746	0.24091756422099908	6.175371716351878	0.003870873943450077	0.4274595707487943	0.5524924565276506	0.17746377018304468	0.5917227950703651	0.22409209024016122	0.20668535338973412	1.875370915232285	0.6736347395386701	2.7697592259964536	0.32107966989004905	3.7355216467834307	-38.63998705051359	-1906.8787220346285
60000	-1943.9531060410222	-1905.2310635849883	-38.722042456033904	0.3480745509736456	0.23320880683604084	0.19152838878139766	0.2271882534089155	6.847682472574968	0.0042913557839052915	0.25812700526154025	1.2075504470513565	0.770741160435519	1.9219354633016268	0.19678477484619786	1.0079151097386942	0.20184225425460847	0.568824435499172	2.8859741468282425	1.2669492890936414	3.2620870338953476	-33.96134024226754	-1905.2310635849883
61500	-1952.441309321198	-1909.3788849446817	-43.06242437651654	0.3025952559985556	0.23596354687808624	0.2406207535891906	0.22082044353416722	5.307949627934765	0.004164622909094887	0.6692401950085664	0.7976856063149513	0.3531802730422735	1.4385258103274317	0.3060707336306837	1.1973115708445718	0.09392355087994768	0.5932641191712031	7.213869360589974	1.049722585771722	3.5016650827615825	-36.97246616223018	-1909.3788849446817
63000	-1953.3235680210587	-1908.688577935975	-44.63499008508371	0.344160191108519	0.24425920168405488	0.19154858606763644	0.22003202113978934	9.08834047623285	0.00379827867915539	1.2591608772853602	1.2932541665240769	0.094585981063606	1.9626882004499406	0.30751809577712996	0.6770602872735598	0.06250603665895857	1.3912370508145153	2.2881309844751767	0.7053042767282159	3.5504096908390372	-38.866341030102774	-1908.688577935975
64500	-1953.1831401608215	-1908.3601507738545	-44.82298938696703	0.3418123779795496	0.2135808590320365	0.20418748410196869	0.24041927888644488	5.156247141005386	0.003462649218129179	0.047694675377188814	1.3715215337685287	0.08060700336173063	2.258586262373634	0.6927220520056494	0.903953581267911	0.14367007565582512	1.139662108069138	1.2941490401761795	0.8725588963408882	4.1944086402666	-41.61690652023269	-1908.3601507738545
66000	-1958.9929128456831	-1906.0122278519273	-52.98068499375575	0.3450281270718638	0.21036510993972235	0.21125935194563494	0.23334741104277862	4.744902258295879	0.0027895530402945725	0.32027562699350487	0.891937224589686	0.1764541624934849	2.07628942010382	1.0249637652157766	0.2633695250229768	0.4514410121613092	1.2641404243218675	0.4311972828773079	1.1608591798409917	4.213913186670404	-48.484828562837436	-1906.0122278519273
67500	-1945.0093137391393	-1904.3540518450545	-40.655261894084774	0.34718514265170897	0.21308707494283888	0.2171621870660779	0.22256559533937395	5.701628846874834	0.003637861859367404	0.393562628206078	0.6049837504617289	0.0989060729806819	0.7475238745782703	0.9061478667343954	0.4574280453824021	0.8511049930242798	1.3278808883946525	1.0907915475815162	0.33765507620817936	4.192477593560814	-38.631971922765146	-1904.3540518450545
69000	-1960.8217085383849	-1909.0120900782963	-51.80961846008858	0.34457276820752436	0.20939128446676392	0.22021582328251088	0.22582012404320054	6.894344259601244	0.004130462467300585	1.1367445404185061	1.8982298568521372	0.2589709140974103	0.3263441031898146	0.42611131060379226	0.7159175740243726	2.3200414051931286	1.3602472483584358	1.4134601192989527	1.8896326264884444	3.6495298229746758	-44.973880180317465	-1909.0120900782963
70500	-1958.5791140884419	-1911.9318896670975	-46.64722442134444	0.3403511255565616	0.23309705062300035	0.20057150976470456	0.22598031405573316	4.786029505098001	0.0032427296047052227	0.2556164172574355	3.7823946085528424	0.940614718614894	0.3189270489498635	0.4785670667521735	0.4150296532776178	0.684502251975788	0.4809686079373443	0.8102195290226945	1.2478116406848894	3.96831121399255	-41.979690352857496	-1911.9318896670975
72000	-1942.1892348747228	-1906.9477339958032	-35.24150087891972	0.33301417678351697	0.22260575371777433	0.2118680117851694	0.23251205771353897	5.063587616382543	0.005422255363965509	0.09218017877764954	2.5256586250342408	1.5193451259696689	1.0053563147125848	0.4162885347867382	0.7130232623695243	0.1543297584114877	0.7011231098306331	0.2850288027461872	0.8893178832004496	3.0875826363111574	-32.7391393497938	-1906.9477339958032
73500	-1935.8433916245754	-1909.1204378065745	-26.72295381800095	0.31222022342237066	0.24854116614887956	0.20672655271521054	0.23251205771353897	5.8849464326181415	0.00437335651672187	1.1761085185959173	0.955732598376169	0.755538828292453	1.6331883747068303	0.08296414065094335	0.5196347479279343	0.41440547605835665	0.20472052075186198	0.39092614267584236	1.0038093016597665	2.774216937415359	-24.23352659475792	-1909.1204378065745
75000	-1934.3967912383716	-1901.2090027395243	-33.18778849884736	0.34397101290440374	0.20918472243731967	0.22076938254726872	0.22607488211100765	5.633490581430958	0.0050530068566412385	1.4339108107923515	1.373934491064898	0.20684612319828433	1.894556589204893	0.9607260384455579	0.6073026055339277	0.21628304620807706	0.5122355186228131	1.590635342731618	0.5969573634626599	3.2437716897102526	-29.048235596412784	-1901.2090027395243
76500	-1946.0725009041787	-1904.3616918689274	-41.71080903525128	0.3638634416234305	0.22583757030783322	0.19984803626276368	0.21045095180597245	9.425702416208148	0.004519977135877288	0.48665002015084796	0.9211826375826051	0.08425055783526292	4.414806226864908	0.9607260384455579	1.1251166390086025	0.3035208404212995	1.0844578538180227	2.540908576962762	0.5865947161609265	3.4199813323900576	-33.888992630450126	-1904.3616918689274
78000	-1947.9880354687332	-1901.4694140121744	-46.51862145655869	0.3383387233746245	0.2327497298338227	0.2026517557166233	0.2262597910749293	8.062330393296484	0.004291908128112458	0.697791338185436	0.5231566544208619	0.09604421673971712	4.414806226864908	0.3091990903509859	1.0630619222355182	0.528120346168895	1.5690617233332051	0.199365058389684	0.4196198566384563	3.4687713804953515	-40.835575938007366	-1901.4694140121744
79500	-1943.9035903667384	-1898.920914096641	-44.98267627009759	0.33531096709514363	0.24138649183014188	0.1954603272779064	0.22784221379680794	6.024322544574159	0.003711860166939628	0.7243249613183665	2.696744894756394	0.5773923822928976	2.1641785730066356	0.13920045368460426	1.0630619222355182	0.7120902327689705	2.834555635280775	0.4306133224570869	0.6135784883616975	3.736082289631361	-37.95388305633749	-1898.920914096641
81000	-1945.8704836622126	-1905.4208218902315	-40.44966177198112	0.3478263560832931	0.24312915064786658	0.2141266426368966	0.19491785063194364	5.274622748903534	0.004902974094734577	0.5866377138952633	1.855083601298452	0.8018692102880641	0.6330191785071649	0.12798984359463858	0.0822585063409348	0.1992124702972579	2.585339260479612	0.8345434284710631	0.3847497480825771	3.260651669914853	-37.85672265490646	-1905.4208218902315
82500	-1955.343786309772	-1900.8123867375984	-54.531399572173484	0.35293206845114133	0.2225207285185164	0.20312874798733588	0.2214184550430063	8.38719005427104	0.0034108549415196696	2.511989268586359	0.12222679585891164	2.5520190182145988	0.3429849862776397	0.4812378277126741	0.16916242497518605	0.5456248150231113	1.1580151820748565	2.4113102073332646	0.6799090250584834	3.7866255356185796	-47.98873026560102	-1900.8123867375984
84000	-1948.2359765182766	-1904.470035788569	-43.76594072970766	0.3543341407685353	0.2071849672158093	0.2149403150483299	0.22354057696732543	6.056551812379918	0.003090592309535364	1.870891060982076	0.15302466647916518	0.5276777377003679	0.9789630565845328	0.5054925169625192	0.10585010196804512	0.6034680907366358	1.1907399167541497	2.9518664937467887	0.3326763452470648	3.6476735938976486	-38.60613090714484	-1904.470035788569
85500	-1950.5665437856292	-1906.4728129579767	-44.09373082765249	0.35499148109911066	0.2016489067096775	0.23151575722332973	0.211843854967882	6.304815655582415	0.004227481547533774	3.0457957038839023	0.7528456888559786	0.288308287942912	1.5493370667340214	0.45717625610767215	0.6582920938257716	0.3948813400871279	0.9149375977232956	3.7798788490798176	0.5392399224269562	3.269765724602852	-38.0239442811807	-1906.4728129579767
87000	-1949.7672146812067	-1901.9970420064233	-47.770172674783474	0.32607586263890076	0.23800043073935334	0.19955364638354453	0.23637006023820123	7.208998791456155	0.0034026893693820184	0.2857453474671229	1.6479610379872358	1.0134754311248417	1.5700218233879093	0.09064193104619865	0.4479916949645544	1.1210127490265538	0.3007321432372481	7.551379295342989	1.003315862600762	3.61297435703276	-39.43441300228848	-1901.9970420064233
88500	-1953.6830991241516	-1904.9486375659735	-48.73446155817811	0.3402738206606727	0.23402209495294826	0.19126511234928037	0.23443897203709854	6.255758094468268	0.003329560136009287	0.7992302320734953	0.7012742183847603	0.4309942564330601	1.5700218233879093	0.07085926191679452	1.0316448612993723	0.6776167529165672	0.44307142588364723	8.5994445220653	1.5861659692454662	3.6872211881665913	-40.0892545358725	-1904.9486375659735
90000	-1954.6057150840663	-1906.9453551283968	-47.660359955669435	0.33612704453334613	0.2538143299265581	0.19651203400080255	0.21354659153929306	6.453130397074702	0.003019727197916417	0.6680401265339015	0.5286704149590228	0.5889504601136194	1.3916173064198059	0.39073237018817486	0.1744974496620783	0.455300324323289	0.31285214559596025	3.2158782835714086	0.6164148019343193	4.083451281351126	-43.02812443758371	-1906.9453551283968
91500	-1948.3620827287693	-1902.8668464871675	-45.495236241601766	0.3580289003230663	0.21567478743773566	0.22213149885275285	0.20416481338644504	4.107466542339717	0.0043527948239086255	0.7484041423500182	0.8629060138421516	0.10318131383764527	3.110454783820935	1.61845019537939	0.23417418272413323	1.1476493573512963	1.5159059684921943	0.8211355686281108	0.3774666848159867	3.6445129773735614	-40.5147719958654	-1902.8668464871675
93000	-1938.8056855226819	-1901.6262375342747	-37.17944798840711	0.34801281126711553	0.23397710333423447	0.2005239200233861	0.21748616537526372	6.939360397248394	0.004534567371099755	0.2586376395439135	0.7735104453167325	0.04717700915819965	3.110454783820935	0.4015508614288622	0.3280373979975786	1.1476493573512963	1.1568673200285582	0.8158595182733004	0.5752169509371938	2.9723856665018333	-33.86327991785982	-1901.6262375342747
94500	-1949.167810320614	-1906.3598812961031	-42.80792902451096	0.35152472127519874	0.22659563572976738	0.18566525032188969	0.23621439267314398	6.392060838425676	0.005207884419873483	0.6095488569920366	0.5735194574407635	0.1700491846440108	3.110454783820935	0.668658951935898	0.903581509839265	1.8101150336836145	0.6870648916190788	0.5314943901414242	1.8324607220323463	3.1027456100988218	-36.96422624931784	-1906.3598812961031
96000	-1953.2403581503895	-1905.0364200365862	-48.20393811380343	0.3380254292703225	0.23537752696725112	0.19633574465066173	0.23026129911176443	6.959449580540851	0.004845112269905872	0.29367358266302174	1.6972014396589106	0.526017563852225	3.726153574697366	1.3057299187726346	0.43062596887022375	0.9504151838947441	0.16716855860990879	8.5132734684618	1.0558689671353136	3.402077438077371	-37.25625450607301	-1905.0364200365862
97500	-1945.3169763407773	-1905.7434098594358	-39.573566481341345	0.338915122939903	0.24519408672768203	0.18675109090053382	0.22913969943188095	6.84284483175586	0.005902468997173467	0.6500122580755825	0.31450371813774197	0.28543668972293534	2.0191997803131434	1.3057299187726346	0.4067654243602967	0.25167865004808665	0.6945698454719302	12.149802337610629	0.5083180697529379	2.736913780153736	-31.087427266987095	-1905.7434098594358
99000	-1945.3494902234497	-1903.2835014938994	-42.06598872955029	0.338915122939903	0.2247594578157557	0.20718571981246015	0.22913969943188095	5.139244432295699	0.003989792131037554	0.13167216581900199	1.031586982908808	0.06773322398152781	0.6576644832101161	0.5712633272204207	0.27113868415247927	0.9079483842074644	0.502197835095026	8.364361096607057	0.49978814755518425	3.2736235866240255	-37.80514645617213	-1903.2835014938994
