Sample	posterior	likelihood	prior	pi.0.A	pi.0.C	pi.0.G	pi.0.T	pi.1.A	pi.1.C	pi.1.G	pi.1.T	pi.2.A	pi.2.C	pi.2.G	pi.2.T	kappa.0	kappa.1	kappa.2	mu.0	mu.1	mu.2	clockRate	Theta	psi.height	codon.0.treeLikelihood	codon.1.treeLikelihood	codon.2.treeLikelihood
75000	-6209.658104643008	-5497.922152411009	-711.7359522319995	0.4967804453851931	0.22489466483797263	0.1285067216276314	0.14981816814920268	0.32219897326133384	0.45011831040898065	0.0725099808868193	0.15517273544286617	0.34005190782461997	0.3509408398721602	0.08688667021380518	0.22212058208941474	12.627100884634768	1.4964344413258863	3.475234522745441	0.7301236663034099	0.8296508742913169	1.438940334006719	0.0012623090239501315	85.06985009855812	83.98051733412478	-1439.6153446587612	-1788.8299895349267	-2269.4768182173216
82500	-6197.261715219694	-5492.56520385463	-704.6965113650637	0.45927882624932115	0.2972137018943519	0.08108571531387397	0.16242175654245272	0.29288778654942976	0.43358366193946973	0.09299694474673953	0.18053160676436095	0.31474472852487706	0.37320999585757114	0.0845028438900266	0.22754243172752533	12.184335362121677	2.438925519082988	5.578705677178229	0.6225356424234286	0.980766077936626	1.3949008303181534	0.001293184701958872	77.79955124981574	80.51622129992317	-1455.0666745853935	-1787.4651388132436	-2250.033390455994
90000	-6167.113644852896	-5481.810845173717	-685.302799679179	0.4809769719484994	0.2391005299423218	0.10553273729027866	0.17438976081889992	0.295590343878954	0.4469650497336606	0.10167213675960392	0.15577246962778157	0.3215749650433014	0.3985612056666493	0.07167949244867988	0.2081843368413695	12.286005143480661	2.406797453891978	5.562816258205057	0.7400192093881803	0.903919647785219	1.3548231390617833	0.0014822612184099944	81.69221091071904	72.13114245684392	-1426.4056484380785	-1798.454548302058	-2256.95064843358
97500	-6147.4360269727185	-5475.1968771303455	-672.2391498423729	0.48535642777155064	0.2639555404578594	0.102059938067451	0.14862809370313879	0.2793089549033902	0.43046161223211327	0.10580577005538548	0.18442366280911113	0.29844739743408405	0.3761931923393777	0.08396243323741343	0.241396976989125	11.189839523530159	1.4568662508900567	1.3695533041006613	0.5886386293765	0.9744656930073707	1.4349368139464942	0.001546695701350185	61.015554319303405	68.63202836342658	-1435.5693173926227	-1786.002068535723	-2253.6254912019995
105000	-6130.187010750351	-5474.707969115132	-655.4790416352187	0.46929916756109985	0.2567846476717858	0.09272442618322961	0.1811917585838845	0.31788076870208115	0.3852798734689596	0.11115011191060475	0.18568924591835465	0.32547003174463385	0.3765353273149149	0.07558449038950624	0.22241015055094512	10.169468633893999	2.119894700258468	1.3749397512790265	0.6849805282117979	0.9791849013285552	1.3343344777368467	0.0017315583291102824	63.965599898060525	59.797748372139445	-1430.8869788018148	-1789.114552220598	-2254.7064380927195
112500	-6124.449820089074	-5476.071990143137	-648.3778299459377	0.5092138114983025	0.2138261680242856	0.10179333040519534	0.17516669007221636	0.2732562692312071	0.4326420505872623	0.10745826026671981	0.1866434199148109	0.33220485465072286	0.38337390768826163	0.07806805422393055	0.20635318343708509	10.169468633893999	2.595348206821001	1.0516465520401963	0.6392865260888899	0.9888492769281024	1.3701465137739077	0.0017046889252132877	62.336905970931696	61.785652141996835	-1438.68958563366	-1784.3501784256323	-2253.0322260838448
120000	-6109.258881716657	-5462.6317448190875	-646.6271368975691	0.5053744164625683	0.23094274620308874	0.09882816866801912	0.16485466866632362	0.27449780950718017	0.4331078753611332	0.10701590331697597	0.18537841181471076	0.3039666039292806	0.3912591322180734	0.07410083597303438	0.23067342787961173	10.833436154864067	2.546293746111022	2.4086481657370906	0.6252715002407906	0.9767731913179827	1.3961708870138025	0.001754740230212653	52.5463341331335	67.09931315530123	-1439.5648900075792	-1780.6545300186212	-2242.412324792887
127500	-6098.369670785259	-5462.067911503342	-636.301759281917	0.4518745573566536	0.26159851185808336	0.09361333915096468	0.19291359163429814	0.3139197016606769	0.44521670290994303	0.08588235556132978	0.15498123986805043	0.28853057013551564	0.388502990570051	0.07272513080158123	0.25024130849285214	9.359262041427819	1.876768926814867	1.6289178396410977	0.6756698617678553	0.9391175356944426	1.383668173308026	0.0019403761205905171	55.47666761139979	62.0841192013191	-1436.5693034037324	-1771.7112657641699	-2253.787342335439
135000	-6090.650931231616	-5470.50840925523	-620.1425219763864	0.4789326641536694	0.24247127466610194	0.09989648033831375	0.17869958084191462	0.3062256415499473	0.44040604509044623	0.07990863517100245	0.1734596781886042	0.3120418998166591	0.3919603228380366	0.08680843310146186	0.20918934424384242	10.232654442757614	5.641655978942671	3.0010752422862215	0.6677173920025846	0.9480911776048855	1.3826091322592096	0.0021362982057571696	44.624051429784394	57.96671199763443	-1439.5418935722118	-1775.303115942022	-2255.663399740996
142500	-6094.508994166651	-5481.203103871338	-613.3058902953134	0.4907627132651636	0.2682628400029522	0.07459536390256871	0.1663790828293151	0.29033493798750465	0.41967002606366455	0.11217386996179719	0.1778211659870338	0.3112984897415647	0.3988526948217429	0.08071469287622973	0.20913412256046268	10.700160368889755	1.480800592695857	4.242523178300573	0.7220435514738693	0.8099744168050508	1.466658429585242	0.0020694225704320137	39.70645020501764	57.38411879943916	-1437.0936391492291	-1790.983279187878	-2253.1261855342304
