Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	gamma	Theta	pi_trait.0	pi_trait.1	pi_trait.2	pi_trait.3	pi_trait.4	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10	R_trait.0	R_trait.1	R_trait.2	R_trait.3	R_trait.4	R_trait.5	R_trait.6	R_trait.7	R_trait.8	R_trait.9	mu_trait	psi.height	D.treeLikelihood	svs.relGeoRate_Fujian_Guangdong	svs.relGeoRate_Fujian_Guangxi	svs.relGeoRate_Fujian_HongKong	svs.relGeoRate_Fujian_Hunan	svs.relGeoRate_Guangdong_Guangxi	svs.relGeoRate_Guangdong_HongKong	svs.relGeoRate_Guangdong_Hunan	svs.relGeoRate_Guangxi_HongKong	svs.relGeoRate_Guangxi_Hunan	svs.relGeoRate_HongKong_Hunan	D_trait.treeLikelihood
0	-8331.28005175703	-8160.451228924633	-170.82882283239798	0.33323313351629325	0.13102147552745153	0.33687453566615405	0.19887085529010104	4.192308882190591	7.164119333936832	1.1521099630698837	0.15576422242889618	0.20377419983979955	0.22328836799052862	0.1734422882479832	0.24373092149279252	1	0	0	0	1	0	1	0	0	1	0.21898812819784896	0.01021115197102273	0.05623067778057763	0.070919983965048	0.13733224116607942	0.19002104457706148	0.07809856984451555	0.14802356332388056	0.061468037183870006	0.028706601990095712	1.6552929100734786	11.038244392838527	-8106.915735403648	0.21898812819784896	0.0	0.0	0.0	0.13733224116607942	0.0	0.07809856984451555	0.0	0.0	0.028706601990095712	-53.53549352098512
15000	-5954.443655730905	-5841.315027360525	-113.12862837038045	0.31885358041477396	0.20807797862127864	0.21045766837481916	0.26261077258912807	6.750329268622241	0.44424927808292525	6.351984419099432	0.16921284478117468	0.256051003721573	0.27389740097265325	0.2092113548081354	0.0916273957164635	0	1	1	1	1	0	1	1	0	1	0.012129518382407516	0.06869281611420326	0.020606020013438843	0.4237927633735993	0.0670397599877394	0.1849196239498636	0.13380984850408137	0.027669708464992337	0.019149604552335726	0.04219033665733869	1.0371031515028974	10.687041672843575	-5792.021350688247	0.0	0.06869281611420326	0.020606020013438843	0.4237927633735993	0.0670397599877394	0.0	0.13380984850408137	0.027669708464992337	0.0	0.04219033665733869	-49.2936766722781
30000	-5945.262129202235	-5831.12013800695	-114.14199119528539	0.3371144602108966	0.1947577395637056	0.21714742859706862	0.2509803716283292	9.573107721801511	0.37116451155463315	7.165556245256414	0.12701378500157837	0.10680726797402264	0.22008463090084918	0.2019379235058659	0.344156392617684	1	1	0	1	1	0	1	1	1	0	0.31810726364832737	0.04863707535144802	0.05706730274956995	0.008738053354271774	0.1984789921760945	0.017286502082170526	0.06641434817050251	0.03237166556792943	0.04275734112437635	0.2101414557753095	0.16376196114064714	11.053387488320244	-5782.2241294837995	0.31810726364832737	0.04863707535144802	0.0	0.008738053354271774	0.1984789921760945	0.0	0.06641434817050251	0.03237166556792943	0.04275734112437635	0.0	-48.89600852315001
45000	-5952.185718983906	-5841.482307363243	-110.70341162066254	0.33713652206455413	0.19071192417326366	0.2356695483682492	0.23648200539393302	8.325103019628148	0.4671635579992432	6.073867116785918	0.18902324098190018	0.3206498897598308	0.23314950602208523	0.210541216870163	0.046636146366020786	1	1	0	0	0	1	1	1	1	0	0.14806133229945675	0.10212404929575566	0.03912617077185664	0.010511772191982016	0.09601575734883883	0.08366644054868859	0.2156948325858838	0.048785734489035164	0.11651277431248847	0.13950113615601406	0.5747795503517898	10.688555558063781	-5795.564336572432	0.14806133229945675	0.10212404929575566	0.0	0.0	0.0	0.08366644054868859	0.2156948325858838	0.048785734489035164	0.11651277431248847	0.0	-45.917970790811424
60000	-5954.519889890252	-5840.827011913554	-113.69287797669789	0.3369003741264415	0.189322149346867	0.22506257327634518	0.24871490325034637	9.603973518791587	0.23200115287393996	4.31891189832355	0.10884790439825005	0.18618556507285108	0.18533635765538004	0.3587075209176229	0.1609226519558959	1	1	0	1	0	0	1	1	1	0	0.2535091082435097	0.222238914988293	0.03116284336001588	0.0021979861282466484	0.0029932229249155402	0.0708682796914098	0.04940349567515867	0.08179781405800272	0.10406156518719395	0.18176676974325406	0.5521789065675062	10.8923812412777	-5792.306096994725	0.2535091082435097	0.222238914988293	0.0	0.0021979861282466484	0.0	0.0	0.04940349567515867	0.08179781405800272	0.10406156518719395	0.0	-48.520914918829575
75000	-5942.542699527804	-5829.021036726576	-113.52166280122765	0.33886817515301443	0.20180747398751328	0.21880639285751877	0.24051795800195377	9.282945717389714	0.46069727992102194	8.523153980839089	0.22494842343192134	0.2704341919787512	0.14104473835661968	0.10179071497823773	0.26178193125447	1	0	0	0	1	1	0	1	1	1	0.2825182462207637	0.008441714194829055	0.031143143468129228	0.005409053433833064	0.13554186929684142	0.35324263025307745	0.026691156047197198	0.026332566948135877	0.12130084467257954	0.00937877546461341	0.3067627089518722	10.368186625473182	-5782.615438755486	0.2825182462207637	0.0	0.0	0.0	0.13554186929684142	0.35324263025307745	0.0	0.026332566948135877	0.12130084467257954	0.00937877546461341	-46.40559797109056
90000	-5943.815568773889	-5833.49640584543	-110.31916292845972	0.3382646465788689	0.20603176221680705	0.20457428774626926	0.25112930345805506	6.961836612957751	0.2317022625405946	5.264837029117689	0.19954532949512024	0.14000004345398753	0.1437056120928133	0.37972230862985296	0.13702670632822594	1	1	1	1	1	1	1	1	1	0	0.3583489026238498	0.07647676582723575	0.03576180091310113	0.036135105284164026	0.10667771203515945	0.022716176104199567	0.18666443368351632	0.021607857047388743	0.07947367653948456	0.07613756994190074	0.48674117700285546	10.84326334612856	-5787.919708750962	0.3583489026238498	0.07647676582723575	0.03576180091310113	0.036135105284164026	0.10667771203515945	0.022716176104199567	0.18666443368351632	0.021607857047388743	0.07947367653948456	0.0	-45.57669709446818
105000	-5950.705297899032	-5833.34330979412	-117.36198810491258	0.3499359095653723	0.19963445371384358	0.2129627830382978	0.23746685368248657	10.113498203850838	0.33985616333003155	6.979522694474307	0.12643302776431703	0.2268340240197996	0.22359671070144002	0.33941725833531394	0.08371897917912922	1	1	1	0	1	1	1	1	1	1	0.26590416176661924	0.10444378829522644	0.005991353838910033	0.23701352565799222	0.0681737632239342	0.1164651604227053	0.10881787446467082	0.029579456404736144	0.06256929061739323	0.0010416253078125437	0.338038910864514	10.370505139066335	-5788.972411154643	0.26590416176661924	0.10444378829522644	0.005991353838910033	0.0	0.0681737632239342	0.1164651604227053	0.10881787446467082	0.029579456404736144	0.06256929061739323	0.0010416253078125437	-44.37089863947665
120000	-5952.804809724939	-5835.372312619453	-117.43249710548639	0.33225559304610736	0.20149265426219604	0.21233159445484548	0.2539201582368513	7.212585913591321	0.3627027818265937	8.740508858690848	0.2903314544191716	0.1933695445247559	0.2934740292165903	0.11977696136773888	0.10304801047174324	1	0	1	0	1	1	1	1	1	0	0.1084467986742565	0.07002316450106273	0.012775191810558847	0.26699299697037915	0.030988917470602617	0.05564337600068908	0.3123372744816406	0.015104206817207297	0.04215625703454598	0.08553181623905737	0.43610204036018435	10.91355489915039	-5787.684891590895	0.1084467986742565	0.0	0.012775191810558847	0.0	0.030988917470602617	0.05564337600068908	0.3123372744816406	0.015104206817207297	0.04215625703454598	0.0	-47.68742102855801
135000	-5947.218977797405	-5826.918739917628	-120.30023787977697	0.3512736275555372	0.18376817773135162	0.2221827496041226	0.2427754451089888	9.410092877319483	0.3075960098367993	9.374179926564358	0.26998963147958277	0.23846496231682351	0.20057721720709698	0.22462969848082914	0.06633849051566743	0	1	0	0	1	1	1	0	1	0	0.09715544670520117	0.07148381130496434	0.07607228218619812	0.07490992554993495	0.08686458763269142	0.0240347791076778	0.18171894869057142	0.10486626196769855	0.009769134191155077	0.27312482266390736	0.4747394318643944	11.421956911140905	-5779.655599331979	0.0	0.07148381130496434	0.0	0.0	0.08686458763269142	0.0240347791076778	0.18171894869057142	0.0	0.009769134191155077	0.0	-47.26314058564901
