Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	gamma	Theta	pi_trait.1	pi_trait.2	pi_trait.3	pi_trait.4	pi_trait.5	I.1	I.2	I.3	I.4	I.5	I.6	I.7	I.8	I.9	I.10	R_trait.1	R_trait.2	R_trait.3	R_trait.4	R_trait.5	R_trait.6	R_trait.7	R_trait.8	R_trait.9	R_trait.10	mu_trait	psi.height	psi.treeLength	D.treeLikelihood	svs.relGeoRate_Fujian_Guangdong	svs.relGeoRate_Fujian_Guangxi	svs.relGeoRate_Fujian_HongKong	svs.relGeoRate_Fujian_Hunan	svs.relGeoRate_Guangdong_Guangxi	svs.relGeoRate_Guangdong_HongKong	svs.relGeoRate_Guangdong_Hunan	svs.relGeoRate_Guangxi_HongKong	svs.relGeoRate_Guangxi_Hunan	svs.relGeoRate_HongKong_Hunan	D_trait.treeLikelihood
15000	-5960.9368877905445	-5836.185731012187	-124.75115677835805	0.3353667683147227	0.18607917458082646	0.2287764627878874	0.24977759431656335	9.99839387439074	0.2675434905535237	7.287263759224885	0.10624452716719855	0.28877003794699707	0.4468356699525436	0.10306613181437851	0.0550836331188821	1	0	0	0	1	1	1	0	1	1	0.11158349212885406	0.022525470140994673	0.08634517656692339	0.46329902101367226	0.061698891796252625	0.015319882588611352	0.12172842743929516	0.013261256621257288	0.09918002430387662	0.0050583574002629975	1.0970640532682607	10.369146276911852	76.22487276646987	-5788.6814504156255	0.11158349212885406	0.0	0.0	0.0	0.061698891796252625	0.015319882588611352	0.12172842743929516	0.0	0.09918002430387662	0.0050583574002629975	-47.50428059656171
16500	-5947.896704253928	-5825.742568849675	-122.15413540425246	0.3353667683147227	0.19465006362737888	0.2287764627878874	0.24120670527001092	10.462239928520074	0.38256905338270647	6.816947127717364	0.2175852343229244	0.18510382908241446	0.2540593441607836	0.2614350689526476	0.0818165234812297	0	1	1	1	1	1	1	0	0	1	0.2261249694226069	0.07603679544421037	0.0512525147849001	0.3676434534889105	0.023990022504478486	0.011275328492646649	0.13989099648067319	0.00469049115656988	0.09366018816755667	0.0054352400574477055	0.6026762423790127	11.03411703756969	77.41476099652301	-5778.492199855142	0.0	0.07603679544421037	0.0512525147849001	0.3676434534889105	0.023990022504478486	0.011275328492646649	0.13989099648067319	0.0	0.0	0.0054352400574477055	-47.250368994533034
18000	-5962.339117643725	-5837.963364262255	-124.37575338147008	0.341832305191046	0.18818452675105551	0.2287764627878874	0.24120670527001092	9.123891415123762	0.3589122791440606	5.858757083432311	0.15102649663843645	0.2344917404694089	0.2990792551389515	0.1251775656432531	0.19022494210994983	1	0	1	0	1	0	1	1	1	0	0.14934950016976206	0.06608166622096001	0.1310161472097489	0.10731200398919673	0.118485388461195	0.09154403771183722	0.14802098492255567	0.14389908540407065	0.02355077130114976	0.020740414609524388	0.5421785901948893	11.203108314456836	80.37537910762927	-5789.984713864857	0.14934950016976206	0.0	0.1310161472097489	0.0	0.118485388461195	0.0	0.14802098492255567	0.14389908540407065	0.02355077130114976	0.0	-47.97865039739718
19500	-5946.932755517884	-5830.381697103758	-116.55105841412662	0.341832305191046	0.19056591686497978	0.2287764627878874	0.23882531515608665	8.91951601213865	0.3990898566562303	6.509402457843406	0.15458747088948843	0.18578694179867622	0.24071465889513485	0.36985101917221047	0.04905990924448986	1	1	1	1	0	1	1	0	1	1	0.25821780765597846	0.2683977985046887	0.00877306386899665	0.04845514505368028	0.07693761432381067	0.01572798140231614	0.1815965831286439	0.06980655921507668	0.06721221759131477	0.004875229255494187	0.5509241844368773	10.814945468279506	71.64066829168442	-5784.728324322044	0.25821780765597846	0.2683977985046887	0.00877306386899665	0.04845514505368028	0.0	0.01572798140231614	0.1815965831286439	0.0	0.06721221759131477	0.004875229255494187	-45.65337278171413
21000	-5944.5897376276225	-5825.490647290177	-119.09909033744574	0.34572120170613907	0.1866770203498867	0.22411663337098595	0.24348514457298812	9.881619430341244	0.4982609499350028	7.249618110626599	0.1537569646198643	0.22348694687287166	0.14716798305178624	0.30840193650870634	0.16718616894677135	1	0	0	0	1	1	1	0	0	0	0.043437143164761174	0.1651309737768961	0.04929045097096622	0.0685768036223828	0.08517864965669893	0.028658778032769172	0.15426757441660374	0.14059777328000317	0.13091631478658092	0.13394553829233813	0.5757362102902503	11.279611028395417	75.15479092010344	-5779.424196686459	0.043437143164761174	0.0	0.0	0.0	0.08517864965669893	0.028658778032769172	0.15426757441660374	0.0	0.0	0.0	-46.06645060371759
22500	-5949.40316907309	-5830.528514202775	-118.87465487031457	0.32931048716934586	0.18982089492725604	0.22411663337098595	0.256751984532412	9.981252855481436	0.33216408367780065	5.362417298203858	0.18256765942243214	0.19485367243027651	0.15182674880552835	0.2529891949727375	0.21776272436902538	1	1	1	1	1	1	1	1	1	0	0.3500864605050598	0.10684003884914721	0.11740178048321931	0.070358059499028	0.0708678674191609	0.0546208648589728	0.002926283628440607	0.09795578520884364	0.11440425000459199	0.014538609543536071	0.5138851302366392	11.018614940686186	74.58887448409082	-5783.042976679693	0.3500864605050598	0.10684003884914721	0.11740178048321931	0.070358059499028	0.0708678674191609	0.0546208648589728	0.002926283628440607	0.09795578520884364	0.11440425000459199	0.0	-47.48553752308148
24000	-5953.251985830849	-5831.179511261569	-122.0724745692798	0.3465069190323805	0.1821067511014369	0.21400543921249593	0.2573808906536865	10.244774883148567	0.35065631658123425	7.166466983887137	0.17239598285104882	0.33695595007151313	0.15182674880552835	0.28334355402577743	0.055477764246132176	1	1	1	1	1	1	1	1	1	1	0.2542732400883986	0.07832627007178587	0.0015227524088660405	0.5234522026897496	0.023455712971643297	3.6304121691650574E-4	0.002926283628440607	0.013843005470708724	0.03775155917784207	0.06408593227564899	0.5903386046148362	11.326713505369552	78.16337242576427	-5785.38498448723	0.2542732400883986	0.07832627007178587	0.0015227524088660405	0.5234522026897496	0.023455712971643297	3.6304121691650574E-4	0.002926283628440607	0.013843005470708724	0.03775155917784207	0.06408593227564899	-45.79452677433925
25500	-5957.55182828674	-5829.465365752053	-128.08646253468652	0.35127047682442963	0.1821067511014369	0.21400543921249593	0.2526173328616374	10.234573918471927	0.3252927411052622	5.66395207024417	0.06251942560892144	0.17470385442460729	0.19681448930835835	0.49136178681953485	0.07460044383857796	1	0	1	1	1	1	1	0	1	1	0.2542732400883986	0.01777149080191684	0.0015227524088660405	0.5291397908838474	0.01776812477754545	3.6304121691650574E-4	0.002926283628440607	0.013843005470708724	0.09830633844771111	0.06408593227564899	0.6870356159396158	11.640292749521633	81.54649859426314	-5783.398042547129	0.2542732400883986	0.0	0.0015227524088660405	0.5291397908838474	0.01776812477754545	3.6304121691650574E-4	0.002926283628440607	0.0	0.09830633844771111	0.06408593227564899	-46.06732320492359
27000	-5948.832570319073	-5828.802823312758	-120.02974700631513	0.3277572202003962	0.20337474981128723	0.21625069712667902	0.2526173328616374	8.823415387781749	0.3433214513440348	6.537384171457353	0.2264328590376456	0.17470385442460729	0.19629893759879416	0.3663716466296113	0.0361927023093416	1	1	1	0	1	0	0	1	1	0	0.1355794800324452	0.01777149080191684	0.0015227524088660405	0.6021222245817551	0.08074599213933345	0.025261718541161875	0.023883973765964774	0.013843005470708724	0.09781711325768461	0.001452249000163587	1.0313625691477797	11.14148075382952	76.21348419756859	-5782.950955129792	0.1355794800324452	0.01777149080191684	0.0015227524088660405	0.0	0.08074599213933345	0.0	0.0	0.013843005470708724	0.09781711325768461	0.0	-45.85186818296555
28500	-5956.773565507642	-5833.780912047662	-122.9926534599795	0.32537437836035454	0.21131470781899533	0.21625069712667902	0.24706021669397096	10.427318374997958	0.5350914200978233	6.946357428191519	0.10027560126140597	0.3008611122008469	0.2918232381263701	0.24730024690749536	0.059739801503881564	1	0	1	1	0	1	1	1	1	0	0.10535679509721924	0.01777149080191684	0.0015227524088660405	0.20277036832639506	0.13196927807757036	0.04822008842456031	0.189615918917985	0.13450368671334262	0.16681737223198126	0.001452249000163587	0.7087914202135567	10.451328364726326	76.88689668890608	-5782.747849437687	0.10535679509721924	0.0	0.0015227524088660405	0.20277036832639506	0.0	0.04822008842456031	0.189615918917985	0.13450368671334262	0.16681737223198126	0.0	-51.03306260997444
