Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
8000	-9058.83423163399	-7959.489745170318	-1099.3444864636713	0.5154229200550415	0.17694922739893623	0.10554699966796313	0.20208085287805913	0.21665635970182792	0.4587021265119708	0.1200666183315505	0.20457489545465085	0.2282701295161566	0.3947829834057216	0.0856909405388762	0.2912559465392456	6.089776213507052	6.948669696546878	10.8711906594184	0.5979187146919958	1.0033556702157878	1.3968109423050352	2.559160874466766E-4	1874.943320547571	460.33747349514186	8773.250469374749	-2063.824747772351	-2643.032888743195	-3252.6321086547723
8500	-8933.287038666174	-7829.429723656709	-1103.8573150094658	0.5154229200550415	0.17694922739893623	0.10554699966796313	0.20208085287805913	0.21665635970182792	0.4566100414317748	0.1200666183315505	0.20666698053484683	0.2282701295161566	0.3947829834057216	0.0856909405388762	0.2912559465392456	6.089776213507052	6.948669696546878	10.811817639813068	0.6835520968159382	0.929820693264945	1.3851203151420497	2.393832721853129E-4	1638.995765574403	460.2244325524732	9002.367878661253	-2036.7757006644576	-2600.080107275319	-3192.5739157169332
9000	-8720.372838667336	-7614.24288728926	-1106.1299513780757	0.5154229200550415	0.25106430074150526	0.10554699966796313	0.1279657795354901	0.26713281900276853	0.40613358213083417	0.11805167140147368	0.20868192746492364	0.3299346751649625	0.3947829834057216	0.0856909405388762	0.1895914008904397	7.870257149622556	8.0937961335951	10.811817639813068	0.6835520968159382	0.929820693264945	1.3851203151420497	2.176150440634543E-4	1638.995765574403	426.2187793587072	9002.562985570914	-1994.8308301964516	-2528.787172805926	-3090.624884286883
9500	-8610.299729570888	-7512.7881255114535	-1097.511604059434	0.5051733983191073	0.25106430074150526	0.10554699966796313	0.13821530127142428	0.26713281900276853	0.40613358213083417	0.11805167140147368	0.20868192746492364	0.3299346751649625	0.3947829834057216	0.0856909405388762	0.1895914008904397	8.116338856740013	8.0937961335951	9.514063483828831	0.6835520968159382	1.0346045860900046	1.28033642231699	2.1550400273628024E-4	1638.995765574403	422.9940761069477	8624.365524010767	-1968.1990429927614	-2487.148273798766	-3057.4408087199267
10000	-8579.08175912931	-7478.659450741921	-1100.42230838739	0.5051733983191073	0.25106430074150526	0.10554699966796313	0.13821530127142428	0.26713281900276853	0.42705303161781016	0.09713222191449769	0.20868192746492364	0.3299346751649625	0.3947829834057216	0.0856909405388762	0.1895914008904397	6.113792298637478	7.600891598735466	9.514063483828831	0.6835520968159382	0.9792349934468261	1.3357060149601685	2.1542020518928523E-4	1595.269901022471	429.8280114626107	8835.133974885643	-1957.2658903073248	-2474.588709579341	-3046.8048508552556
10500	-8359.222110393177	-7258.246356853853	-1100.9757535393235	0.5051733983191073	0.25106430074150526	0.10554699966796313	0.13821530127142428	0.26713281900276853	0.42705303161781016	0.09713222191449769	0.20868192746492364	0.3299346751649625	0.3947829834057216	0.0856909405388762	0.1895914008904397	7.888633106410199	7.066550103345187	9.365166645249847	0.6899807965571204	0.9728369065615543	1.3357060149601685	2.0377637638462466E-4	1848.0931161953608	429.09401159255646	8743.703280554593	-1866.3332461458622	-2408.4891122772206	-2983.42399843077
11000	-8195.506597203519	-7091.9425013499085	-1103.5640958536098	0.5051733983191073	0.25106430074150526	0.10554699966796313	0.13821530127142428	0.26713281900276853	0.42154905574628	0.09713222191449769	0.2141859033364538	0.27837024785592746	0.4463474107147567	0.0856909405388762	0.1895914008904397	5.648048497186101	7.672483613350332	9.520848966533167	0.7038203036722384	0.9728369065615543	1.3219324102598844	2.1299209593152296E-4	1848.0931161953608	458.8179923164176	8663.747114447782	-1833.711423809633	-2361.1665476626167	-2897.064529877659
11500	-8092.337213038708	-6990.551473632808	-1101.7857394059001	0.430558255068793	0.25106430074150526	0.10554699966796313	0.2128304445217386	0.26713281900276853	0.42154905574628	0.09713222191449769	0.2141859033364538	0.27837024785592746	0.4463474107147567	0.0856909405388762	0.1895914008904397	5.648048497186101	9.211293564768214	12.483158594375668	0.7038203036722384	0.9363312506289203	1.3584380661925182	2.2733668011403973E-4	1695.9100365121353	439.89476094972457	8362.494998134962	-1807.1597486883177	-2335.8569051214595	-2847.5348198230304
12000	-8019.686846597269	-6915.193043707779	-1104.4938028894903	0.430558255068793	0.25106430074150526	0.10554699966796313	0.2128304445217386	0.26713281900276853	0.42154905574628	0.09713222191449769	0.2141859033364538	0.25137068912910077	0.46923997475419643	0.06279837649943644	0.21659095961726638	7.258216461401956	9.211293564768214	12.483158594375668	0.6233906208647801	0.9861437803573257	1.3886722207820117	2.1276534276410116E-4	2104.291788743118	407.90130904891794	8259.026659492587	-1780.8788350492764	-2313.9902828981462	-2820.323925760357
12500	-7958.911206623148	-6868.71450001125	-1090.1967066118982	0.430558255068793	0.25106430074150526	0.10554699966796313	0.2128304445217386	0.26713281900276853	0.42154905574628	0.09713222191449769	0.2141859033364538	0.25137068912910077	0.46923997475419643	0.06279837649943644	0.21659095961726638	6.776931463557682	11.185263423625273	12.7438220817992	0.6233906208647801	0.976878924929016	1.3979370762103214	2.4273723693584803E-4	1774.9230409921822	378.32576597558875	7583.645246682092	-1760.27898559844	-2300.3369587329244	-2808.098555679885
